SampleID,experiment,X.Intercept._mean_formatted,TTris_mean_formatted,date_mean_formatted,TA_mean_formatted,Mass_mean_formatted,mV_mean_formatted,TempInSitu_mean_formatted,Salinity_lab_mean_formatted,mVTris_mean_formatted,pH_mean_formatted,flag_mean_formatted,S_mean_formatted,T_mean_formatted,Patm_mean_formatted,P_mean_formatted,CO2_mean_formatted,fCO2_mean_formatted,pCO2_mean_formatted,fCO2pot_mean_formatted,pCO2pot_mean_formatted,fCO2insitu_mean_formatted,pCO2insitu_mean_formatted,HCO3_mean_formatted,CO3_mean_formatted,DIC_mean_formatted,ALK_mean_formatted,OmegaAragonite_mean_formatted,OmegaCalcite_mean_formatted,...1_mean_formatted,X_mean_formatted
18,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.94 ± 0.18,-57.00 ± 8.98,16.20 ± 0.25,35.56 ± 0.33,-76.06 ± 1.26,7.92 ± 0.15,8.00 ± 0.00,35.56 ± 0.33,16.20 ± 0.25,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,655.50 ± 262.71,657.84 ± 263.64,655.50 ± 262.71,657.84 ± 263.64,655.50 ± 262.71,657.84 ± 263.64,0.00 ± 0.00,0.00 ± 0.00,2367.93 ± 123.67,2554.67 ± 89.21,2.25 ± 0.59,3.49 ± 0.92,NaN ± NA,NaN ± NA
15,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,60.19 ± 0.22,-57.43 ± 10.83,16.28 ± 0.13,35.58 ± 0.27,-76.33 ± 1.56,7.93 ± 0.20,8.00 ± 0.00,35.58 ± 0.27,16.28 ± 0.13,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,649.35 ± 272.70,651.67 ± 273.68,649.35 ± 272.70,651.67 ± 273.68,649.35 ± 272.70,651.67 ± 273.68,0.00 ± 0.00,0.00 ± 0.00,2357.98 ± 56.29,2555.18 ± 94.32,2.37 ± 1.05,3.67 ± 1.63,NaN ± NA,NaN ± NA
13,Early spring,-104.16 ± 1.03,1.39 ± 0.06,20240415.00 ± 7.00,0.00 ± 0.00,59.96 ± 0.09,-59.37 ± 8.74,20.19 ± 0.05,35.59 ± 0.17,-75.96 ± 1.39,7.96 ± 0.15,8.00 ± 0.00,35.59 ± 0.17,20.19 ± 0.05,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,590.99 ± 245.94,593.00 ± 246.78,590.99 ± 245.94,593.00 ± 246.78,590.99 ± 245.94,593.00 ± 246.78,0.00 ± 0.00,0.00 ± 0.00,2316.78 ± 87.14,2555.81 ± 87.63,2.81 ± 0.85,4.32 ± 1.30,NaN ± NA,NaN ± NA
TANK11,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.05 ± 0.19,-14.70 ± 0.99,16.25 ± 0.07,34.08 ± 0.50,-68.30 ± 0.14,7.30 ± 0.02,8.00 ± 0.00,34.08 ± 0.50,16.25 ± 0.07,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2674.90 ± 43.25,2684.47 ± 43.40,2674.90 ± 43.25,2684.47 ± 43.40,2674.90 ± 43.25,2684.47 ± 43.40,0.00 ± 0.00,0.00 ± 0.00,2406.20 ± 61.25,2359.69 ± 66.44,0.54 ± 0.04,0.83 ± 0.06,20.00 ± 12.73,20.00 ± 12.73
TANK5,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.22 ± 0.29,-17.40 ± 6.36,16.30 ± 0.14,34.03 ± 0.48,-68.46 ± 0.13,7.35 ± 0.11,8.00 ± 0.00,34.03 ± 0.48,16.30 ± 0.14,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2426.50 ± 566.95,2435.18 ± 569.00,2426.50 ± 566.95,2435.18 ± 569.00,2426.50 ± 566.95,2435.18 ± 569.00,0.00 ± 0.00,0.00 ± 0.00,2390.20 ± 30.28,2359.21 ± 67.26,0.61 ± 0.17,0.94 ± 0.26,14.00 ± 12.73,14.00 ± 12.73
TANK3,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.12 ± 0.22,-19.05 ± 1.63,19.85 ± 0.35,34.12 ± 0.48,-68.38 ± 0.03,7.38 ± 0.03,8.00 ± 0.00,34.12 ± 0.48,19.85 ± 0.35,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2282.28 ± 100.17,2290.09 ± 100.54,2282.28 ± 100.17,2290.09 ± 100.54,2282.28 ± 100.17,2290.09 ± 100.54,0.00 ± 0.00,0.00 ± 0.00,2371.54 ± 47.99,2364.50 ± 59.31,0.73 ± 0.08,1.13 ± 0.12,12.00 ± 12.73,12.00 ± 12.73
TANK10,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.85 ± 0.13,-20.75 ± 3.04,20.05 ± 0.07,34.08 ± 0.52,-68.30 ± 0.14,7.40 ± 0.05,8.00 ± 0.00,34.08 ± 0.52,20.05 ± 0.07,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2125.88 ± 212.15,2133.13 ± 212.88,2125.88 ± 212.15,2133.13 ± 212.88,2125.88 ± 212.15,2133.13 ± 212.88,0.00 ± 0.00,0.00 ± 0.00,2352.20 ± 51.93,2355.50 ± 70.22,0.78 ± 0.12,1.21 ± 0.19,19.00 ± 12.73,19.00 ± 12.73
TANK1,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.60 ± 0.06,-21.75 ± 1.34,16.00 ± 0.28,34.01 ± 0.47,-68.39 ± 0.19,7.42 ± 0.02,8.00 ± 0.00,34.01 ± 0.47,16.00 ± 0.28,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1987.40 ± 39.00,1994.53 ± 39.17,1987.40 ± 39.00,1994.53 ± 39.17,1987.40 ± 39.00,1994.53 ± 39.17,0.00 ± 0.00,0.00 ± 0.00,2351.26 ± 77.34,2343.60 ± 86.02,0.69 ± 0.07,1.07 ± 0.11,10.00 ± 12.73,10.00 ± 12.73
TANK15,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.16 ± 0.20,-23.60 ± 2.40,20.10 ± 0.00,34.04 ± 0.49,-68.46 ± 0.13,7.45 ± 0.04,8.00 ± 0.00,34.04 ± 0.49,20.10 ± 0.00,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1887.49 ± 148.07,1893.92 ± 148.58,1887.49 ± 148.07,1893.92 ± 148.58,1887.49 ± 148.07,1893.92 ± 148.58,0.00 ± 0.00,0.00 ± 0.00,2337.56 ± 46.55,2356.81 ± 61.45,0.87 ± 0.11,1.35 ± 0.17,24.00 ± 12.73,24.00 ± 12.73
TANK18,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.09 ± 0.22,-26.85 ± 5.02,16.20 ± 0.14,34.02 ± 0.47,-68.30 ± 0.14,7.51 ± 0.09,8.00 ± 0.00,34.02 ± 0.47,16.20 ± 0.14,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1630.88 ± 297.22,1636.71 ± 298.27,1630.88 ± 297.22,1636.71 ± 298.27,1630.88 ± 297.22,1636.71 ± 298.27,0.00 ± 0.00,0.00 ± 0.00,2335.17 ± 43.33,2356.21 ± 71.39,0.85 ± 0.19,1.32 ± 0.29,26.00 ± 12.73,26.00 ± 12.73
TANK9,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.88 ± 0.27,-26.95 ± 8.84,20.15 ± 0.35,34.08 ± 0.48,-68.47 ± 0.09,7.51 ± 0.15,8.00 ± 0.00,34.08 ± 0.48,20.15 ± 0.35,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1684.81 ± 575.56,1690.55 ± 577.55,1684.81 ± 575.56,1690.55 ± 577.55,1684.81 ± 575.56,1690.55 ± 577.55,0.00 ± 0.00,0.00 ± 0.00,2317.63 ± 6.24,2356.95 ± 59.63,1.02 ± 0.37,1.57 ± 0.57,18.00 ± 12.73,18.00 ± 12.73
TANK2,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.17 ± 0.37,-27.55 ± 5.30,16.15 ± 0.07,34.09 ± 0.45,-68.38 ± 0.03,7.52 ± 0.09,8.00 ± 0.00,34.09 ± 0.45,16.15 ± 0.07,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1585.72 ± 314.19,1591.40 ± 315.31,1585.72 ± 314.19,1591.40 ± 315.31,1585.72 ± 314.19,1591.40 ± 315.31,0.00 ± 0.00,0.00 ± 0.00,2332.87 ± 30.18,2357.76 ± 60.15,0.88 ± 0.20,1.36 ± 0.31,11.00 ± 12.73,11.00 ± 12.73
TANK6,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.64 ± 0.02,-30.15 ± 6.29,16.05 ± 0.07,34.05 ± 0.43,-68.46 ± 0.13,7.57 ± 0.11,8.00 ± 0.00,34.05 ± 0.43,16.05 ± 0.07,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1432.89 ± 339.58,1438.02 ± 340.80,1432.89 ± 339.58,1438.02 ± 340.80,1432.89 ± 339.58,1438.02 ± 340.80,0.00 ± 0.00,0.00 ± 0.00,2328.75 ± 30.46,2367.69 ± 67.28,0.97 ± 0.26,1.51 ± 0.40,15.00 ± 12.73,15.00 ± 12.73
TANK4,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.18 ± 0.33,-30.15 ± 6.58,19.90 ± 0.28,34.11 ± 0.52,-68.38 ± 0.03,7.57 ± 0.11,8.00 ± 0.00,34.11 ± 0.52,19.90 ± 0.28,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1458.75 ± 359.70,1463.73 ± 360.95,1458.75 ± 359.70,1463.73 ± 360.95,1458.75 ± 359.70,1463.73 ± 360.95,0.00 ± 0.00,0.00 ± 0.00,2314.41 ± 34.59,2370.87 ± 76.47,1.13 ± 0.33,1.74 ± 0.50,13.00 ± 12.73,13.00 ± 12.73
TANK19,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.93 ± 0.23,-32.25 ± 2.62,16.10 ± 0.00,34.08 ± 0.45,-68.23 ± 0.04,7.60 ± 0.05,8.00 ± 0.00,34.08 ± 0.45,16.10 ± 0.00,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1293.17 ± 107.95,1297.80 ± 108.34,1293.17 ± 107.95,1297.80 ± 108.34,1293.17 ± 107.95,1297.80 ± 108.34,0.00 ± 0.00,0.00 ± 0.00,2308.83 ± 52.96,2358.94 ± 69.60,1.03 ± 0.14,1.60 ± 0.21,27.00 ± 12.73,27.00 ± 12.73
TANK13,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.76 ± 0.19,-32.40 ± 8.77,16.60 ± 0.00,34.10 ± 0.53,-68.23 ± 0.04,7.60 ± 0.15,8.00 ± 0.00,34.10 ± 0.53,16.60 ± 0.00,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1324.22 ± 448.04,1328.93 ± 449.63,1324.22 ± 448.04,1328.93 ± 449.63,1324.22 ± 448.04,1328.93 ± 449.63,0.00 ± 0.00,0.00 ± 0.00,2309.85 ± 16.93,2364.51 ± 68.92,1.09 ± 0.38,1.69 ± 0.59,22.00 ± 12.73,22.00 ± 12.73
TANK12,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.75 ± 0.23,-34.30 ± 6.22,20.10 ± 0.00,34.09 ± 0.52,-68.30 ± 0.14,7.64 ± 0.11,8.00 ± 0.00,34.09 ± 0.52,20.10 ± 0.00,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1215.60 ± 295.13,1219.73 ± 296.14,1215.60 ± 295.13,1219.73 ± 296.14,1215.60 ± 295.13,1219.73 ± 296.14,0.00 ± 0.00,0.00 ± 0.00,2274.86 ± 20.28,2356.25 ± 60.89,1.31 ± 0.34,2.02 ± 0.52,21.00 ± 12.73,21.00 ± 12.73
TANK7,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.98 ± 0.22,-36.55 ± 4.17,19.95 ± 0.21,34.05 ± 0.47,-68.54 ± 0.02,7.68 ± 0.07,8.00 ± 0.00,34.05 ± 0.47,19.95 ± 0.21,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1093.23 ± 168.91,1096.96 ± 169.50,1093.23 ± 168.91,1096.96 ± 169.50,1093.23 ± 168.91,1096.96 ± 169.50,0.00 ± 0.00,0.00 ± 0.00,2262.37 ± 36.18,2356.14 ± 66.53,1.40 ± 0.27,2.16 ± 0.42,16.00 ± 12.73,16.00 ± 12.73
TANK8,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,59.84 ± 0.00,-37.25 ± 0.92,19.85 ± 0.21,34.09 ± 0.53,-68.46 ± 0.13,7.69 ± 0.02,8.00 ± 0.00,34.09 ± 0.53,19.85 ± 0.21,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1056.51 ± 14.35,1060.11 ± 14.41,1056.51 ± 14.35,1060.11 ± 14.41,1056.51 ± 14.35,1060.11 ± 14.41,0.00 ± 0.00,0.00 ± 0.00,2263.36 ± 61.13,2360.51 ± 72.11,1.42 ± 0.12,2.20 ± 0.18,17.00 ± 12.73,17.00 ± 12.73
TANK17,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.25 ± 0.25,-42.30 ± 8.20,16.25 ± 0.07,34.05 ± 0.51,-68.38 ± 0.03,7.77 ± 0.14,8.00 ± 0.00,34.05 ± 0.51,16.25 ± 0.07,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,861.38 ± 279.96,864.45 ± 280.96,861.38 ± 279.96,864.45 ± 280.96,861.38 ± 279.96,864.45 ± 280.96,0.00 ± 0.00,0.00 ± 0.00,2247.61 ± 14.01,2359.65 ± 69.89,1.52 ± 0.49,2.36 ± 0.76,25.00 ± 12.73,25.00 ± 12.73
TANK14,Late spring,-100.92 ± 2.02,1.56 ± 0.10,20240524.50 ± 4.95,0.00 ± 0.00,60.02 ± 0.04,-48.65 ± 3.18,19.80 ± 0.14,34.07 ± 0.54,-68.22 ± 0.26,7.88 ± 0.06,8.00 ± 0.00,34.07 ± 0.54,19.80 ± 0.14,1.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.89 ± 73.79,643.08 ± 74.05,640.89 ± 73.79,643.08 ± 74.05,640.89 ± 73.79,643.08 ± 74.05,0.00 ± 0.00,0.00 ± 0.00,2181.22 ± 46.30,2356.26 ± 78.58,2.12 ± 0.33,3.26 ± 0.51,23.00 ± 12.73,23.00 ± 12.73
