date,time,sea_water_temperature
2024-03-02,20:28:20Z,15.85000038
2024-03-02,20:30:00Z,
2024-03-02,20:58:20Z,15.85000038
2024-03-02,21:00:00Z,
2024-03-02,21:28:20Z,15.79999924
2024-03-02,22:00:00Z,
2024-03-02,22:28:20Z,15.85000038
2024-03-02,22:30:00Z,
2024-03-02,22:58:20Z,15.85000038
2024-03-02,23:00:00Z,
2024-03-02,23:28:20Z,15.85000038
2024-03-02,23:30:00Z,
2024-03-02,23:58:20Z,15.85000038
2024-03-03,00:00:00Z,
2024-03-03,00:28:20Z,15.85000038
2024-03-03,00:30:00Z,
2024-03-03,00:58:20Z,15.85000038
2024-03-03,01:00:00Z,
2024-03-03,01:28:20Z,15.85000038
2024-03-03,01:30:00Z,
2024-03-03,01:58:20Z,15.79999924
2024-03-03,02:00:00Z,
2024-03-03,02:28:20Z,15.75
2024-03-03,02:30:00Z,
2024-03-03,02:58:20Z,15.75
2024-03-03,03:00:00Z,
2024-03-03,03:28:20Z,15.75
2024-03-03,03:30:00Z,
2024-03-03,03:58:20Z,15.75
2024-03-03,04:00:00Z,
2024-03-03,04:28:20Z,15.75
2024-03-03,04:30:00Z,
2024-03-03,04:58:20Z,15.70000076
2024-03-03,05:00:00Z,
2024-03-03,05:28:20Z,15.70000076
2024-03-03,05:30:00Z,
2024-03-03,05:58:20Z,15.70000076
2024-03-03,06:00:00Z,
2024-03-03,06:28:20Z,15.70000076
2024-03-03,06:30:00Z,
2024-03-03,06:58:20Z,15.70000076
2024-03-03,07:00:00Z,
2024-03-03,07:28:20Z,15.70000076
2024-03-03,07:30:00Z,
2024-03-03,07:58:20Z,15.64999962
2024-03-03,08:00:00Z,
2024-03-03,08:28:20Z,15.64999962
2024-03-03,08:30:00Z,
2024-03-03,08:58:20Z,15.64999962
2024-03-03,09:00:00Z,
2024-03-03,09:28:20Z,15.64999962
2024-03-03,09:30:00Z,
2024-03-03,09:58:20Z,15.64999962
2024-03-03,10:00:00Z,
2024-03-03,10:28:20Z,15.64999962
2024-03-03,10:30:00Z,
2024-03-03,10:58:20Z,15.64999962
2024-03-03,11:00:00Z,
2024-03-03,11:28:20Z,15.64999962
2024-03-03,11:30:00Z,
2024-03-03,11:58:20Z,15.64999962
2024-03-03,12:00:00Z,
2024-03-03,12:28:20Z,15.64999962
2024-03-03,12:30:00Z,
2024-03-03,12:58:20Z,15.64999962
2024-03-03,13:00:00Z,
2024-03-03,13:28:20Z,15.60000038
2024-03-03,13:30:00Z,
2024-03-03,13:58:20Z,15.60000038
2024-03-03,14:00:00Z,
2024-03-03,14:28:20Z,15.60000038
2024-03-03,14:30:00Z,
2024-03-03,14:58:20Z,15.60000038
2024-03-03,15:00:00Z,
2024-03-03,15:28:20Z,15.60000038
2024-03-03,15:30:00Z,
2024-03-03,15:58:20Z,15.60000038
2024-03-03,16:00:00Z,
2024-03-03,16:28:20Z,15.60000038
2024-03-03,16:30:00Z,
2024-03-03,16:58:20Z,15.60000038
2024-03-03,17:00:00Z,
2024-03-03,17:28:20Z,15.64999962
2024-03-03,17:30:00Z,
2024-03-03,17:58:20Z,15.70000076
2024-03-03,18:00:00Z,
2024-03-03,18:28:20Z,15.70000076
2024-03-03,18:30:00Z,
2024-03-03,18:58:20Z,15.75
2024-03-03,19:00:00Z,
2024-03-03,19:28:20Z,15.79999924
2024-03-03,19:30:00Z,
2024-03-03,19:58:20Z,15.79999924
2024-03-03,20:00:00Z,
2024-03-03,20:28:20Z,15.75
2024-03-03,20:30:00Z,
2024-03-03,20:58:20Z,15.75
2024-03-03,21:00:00Z,
2024-03-03,21:28:20Z,15.79999924
2024-03-03,21:30:00Z,
2024-03-03,21:58:20Z,15.79999924
2024-03-03,22:00:00Z,
2024-03-03,22:28:20Z,15.79999924
2024-03-03,22:30:00Z,
2024-03-03,22:58:20Z,15.75
2024-03-03,23:00:00Z,
2024-03-03,23:28:20Z,15.79999924
2024-03-03,23:30:00Z,
2024-03-03,23:58:20Z,15.79999924
2024-03-04,00:00:00Z,
2024-03-04,00:28:20Z,15.75
2024-03-04,00:30:00Z,
2024-03-04,00:58:20Z,15.75
2024-03-04,01:00:00Z,
2024-03-04,01:28:20Z,15.70000076
2024-03-04,01:30:00Z,
2024-03-04,01:58:20Z,15.70000076
2024-03-04,02:00:00Z,
2024-03-04,02:28:20Z,15.70000076
2024-03-04,02:30:00Z,
2024-03-04,02:58:20Z,15.64999962
2024-03-04,03:00:00Z,
2024-03-04,03:28:20Z,15.64999962
2024-03-04,03:30:00Z,
2024-03-04,03:58:20Z,15.64999962
2024-03-04,04:00:00Z,
2024-03-04,04:28:20Z,15.70000076
2024-03-04,04:30:00Z,
2024-03-04,04:58:20Z,15.70000076
2024-03-04,05:00:00Z,
2024-03-04,05:28:20Z,15.64999962
2024-03-04,05:30:00Z,
2024-03-04,05:58:20Z,15.64999962
2024-03-04,06:00:00Z,
2024-03-04,06:28:20Z,15.64999962
2024-03-04,06:30:00Z,
2024-03-04,06:58:20Z,15.64999962
2024-03-04,07:00:00Z,
2024-03-04,07:28:20Z,15.60000038
2024-03-04,07:30:00Z,
2024-03-04,07:58:20Z,15.60000038
2024-03-04,08:00:00Z,
2024-03-04,08:28:20Z,15.60000038
2024-03-04,08:30:00Z,
2024-03-04,08:58:20Z,15.54999924
2024-03-04,09:00:00Z,
2024-03-04,09:28:20Z,15.54999924
2024-03-04,09:30:00Z,
2024-03-04,09:58:20Z,15.54999924
2024-03-04,10:00:00Z,
2024-03-04,10:28:20Z,15.54999924
2024-03-04,10:30:00Z,
2024-03-04,10:58:20Z,15.5
2024-03-04,11:00:00Z,
2024-03-04,11:28:20Z,15.5
2024-03-04,11:30:00Z,
2024-03-04,11:58:20Z,15.45000076
2024-03-04,12:00:00Z,
2024-03-04,12:28:20Z,15.45000076
2024-03-04,12:30:00Z,
2024-03-04,12:58:20Z,15.45000076
2024-03-04,13:00:00Z,
2024-03-04,13:28:20Z,15.39999962
2024-03-04,13:30:00Z,
2024-03-04,13:58:20Z,15.39999962
2024-03-04,14:00:00Z,
2024-03-04,14:28:20Z,15.35000038
2024-03-04,14:30:00Z,
2024-03-04,14:58:20Z,15.35000038
2024-03-04,15:00:00Z,
2024-03-04,15:28:20Z,15.35000038
2024-03-04,15:30:00Z,
2024-03-04,15:58:20Z,15.35000038
2024-03-04,16:00:00Z,
2024-03-04,16:28:20Z,15.29999924
2024-03-04,16:30:00Z,
2024-03-04,16:58:20Z,15.29999924
2024-03-04,17:00:00Z,
2024-03-04,17:28:20Z,15.29999924
2024-03-04,17:30:00Z,
2024-03-04,17:58:20Z,15.29999924
2024-03-04,18:00:00Z,
2024-03-04,18:28:20Z,15.35000038
2024-03-04,18:30:00Z,
2024-03-04,18:58:20Z,15.35000038
2024-03-04,19:00:00Z,
2024-03-04,19:28:20Z,15.39999962
2024-03-04,19:30:00Z,
2024-03-04,19:58:20Z,15.45000076
2024-03-04,20:00:00Z,
2024-03-04,20:28:20Z,15.5
2024-03-04,20:30:00Z,
2024-03-04,20:58:20Z,15.54999924
2024-03-04,21:00:00Z,
2024-03-04,21:28:20Z,15.54999924
2024-03-04,21:30:00Z,
2024-03-04,21:58:20Z,15.60000038
2024-03-04,22:00:00Z,
2024-03-04,22:28:20Z,15.60000038
2024-03-04,22:30:00Z,
2024-03-04,22:58:20Z,15.60000038
2024-03-04,23:00:00Z,
2024-03-04,23:28:20Z,15.60000038
2024-03-04,23:30:00Z,
2024-03-04,23:58:20Z,15.64999962
2024-03-05,00:00:00Z,
2024-03-05,00:28:20Z,15.60000038
2024-03-05,00:30:00Z,
2024-03-05,00:58:20Z,15.60000038
2024-03-05,01:00:00Z,
2024-03-05,01:28:20Z,15.54999924
2024-03-05,01:30:00Z,
2024-03-05,01:58:20Z,15.54999924
2024-03-05,02:00:00Z,
2024-03-05,02:28:20Z,15.5
2024-03-05,02:30:00Z,
2024-03-05,02:58:20Z,15.5
2024-03-05,03:00:00Z,
2024-03-05,03:28:20Z,15.5
2024-03-05,03:30:00Z,
2024-03-05,03:58:20Z,15.5
2024-03-05,04:00:00Z,
2024-03-05,04:28:20Z,15.5
2024-03-05,04:30:00Z,
2024-03-05,04:58:20Z,15.45000076
2024-03-05,05:00:00Z,
2024-03-05,05:28:20Z,15.45000076
2024-03-05,05:30:00Z,
2024-03-05,05:58:20Z,15.39999962
2024-03-05,06:00:00Z,
2024-03-05,06:28:20Z,15.39999962
2024-03-05,06:30:00Z,
2024-03-05,06:58:20Z,15.39999962
2024-03-05,07:00:00Z,
2024-03-05,07:28:20Z,15.35000038
2024-03-05,07:30:00Z,
2024-03-05,07:58:20Z,15.35000038
2024-03-05,08:00:00Z,
2024-03-05,08:28:20Z,15.35000038
2024-03-05,08:30:00Z,
2024-03-05,08:58:20Z,15.35000038
2024-03-05,09:00:00Z,
2024-03-05,09:28:20Z,15.35000038
2024-03-05,09:30:00Z,
2024-03-05,09:58:20Z,15.35000038
2024-03-05,10:00:00Z,
2024-03-05,10:28:20Z,15.35000038
2024-03-05,10:30:00Z,
2024-03-05,10:58:20Z,15.35000038
2024-03-05,11:00:00Z,
2024-03-05,11:28:20Z,15.35000038
2024-03-05,11:30:00Z,
2024-03-05,11:58:20Z,15.35000038
2024-03-05,12:00:00Z,
2024-03-05,12:28:20Z,15.35000038
2024-03-05,12:30:00Z,
2024-03-05,12:58:20Z,15.35000038
2024-03-05,13:00:00Z,
2024-03-05,13:28:20Z,15.29999924
2024-03-05,13:30:00Z,
2024-03-05,13:58:20Z,15.35000038
2024-03-05,14:00:00Z,
2024-03-05,14:28:20Z,15.35000038
2024-03-05,14:30:00Z,
2024-03-05,14:58:20Z,15.35000038
2024-03-05,15:00:00Z,
2024-03-05,15:28:20Z,15.35000038
2024-03-05,15:30:00Z,
2024-03-05,15:58:20Z,15.39999962
2024-03-05,16:00:00Z,
2024-03-05,16:28:20Z,15.45000076
2024-03-05,16:30:00Z,
2024-03-05,16:58:20Z,15.45000076
2024-03-05,17:00:00Z,
2024-03-05,17:28:20Z,15.45000076
2024-03-05,17:30:00Z,
2024-03-05,17:58:20Z,15.5
2024-03-05,18:00:00Z,
2024-03-05,18:28:20Z,15.70000076
2024-03-05,18:30:00Z,
2024-03-05,18:58:20Z,16.04999924
2024-03-05,19:00:00Z,
2024-03-05,19:28:20Z,16.14999962
2024-03-05,19:30:00Z,
2024-03-05,19:58:20Z,16.14999962
2024-03-05,20:00:00Z,
2024-03-05,20:28:20Z,16.25
2024-03-05,20:30:00Z,
2024-03-05,20:58:20Z,16.29999924
2024-03-05,21:00:00Z,
2024-03-05,21:28:20Z,16.25
2024-03-05,21:30:00Z,
2024-03-05,21:58:20Z,16.29999924
2024-03-05,22:00:00Z,
2024-03-05,22:28:20Z,16.39999962
2024-03-05,22:30:00Z,
2024-03-05,22:58:20Z,16.25
2024-03-05,23:00:00Z,
2024-03-05,23:28:20Z,16.20000076
2024-03-05,23:30:00Z,
2024-03-05,23:58:20Z,16.10000038
2024-03-06,00:00:00Z,
2024-03-06,00:28:20Z,16.10000038
2024-03-06,00:30:00Z,
2024-03-06,00:58:20Z,15.95000076
2024-03-06,01:00:00Z,
2024-03-06,01:28:20Z,15.79999924
2024-03-06,01:30:00Z,
2024-03-06,01:58:20Z,15.75
2024-03-06,02:00:00Z,
2024-03-06,02:28:20Z,15.70000076
2024-03-06,02:30:00Z,
2024-03-06,02:58:20Z,15.64999962
2024-03-06,03:00:00Z,
2024-03-06,03:28:20Z,15.64999962
2024-03-06,03:30:00Z,
2024-03-06,03:58:20Z,15.64999962
2024-03-06,04:00:00Z,
2024-03-06,04:28:20Z,15.64999962
2024-03-06,04:30:00Z,
2024-03-06,04:58:20Z,15.60000038
2024-03-06,05:00:00Z,
2024-03-06,05:28:20Z,15.54999924
2024-03-06,05:30:00Z,
2024-03-06,05:58:20Z,15.54999924
2024-03-06,06:00:00Z,
2024-03-06,06:28:20Z,15.54999924
2024-03-06,06:30:00Z,
2024-03-06,06:58:20Z,15.54999924
2024-03-06,07:00:00Z,
2024-03-06,07:28:20Z,15.54999924
2024-03-06,07:30:00Z,
2024-03-06,07:58:20Z,15.54999924
2024-03-06,08:00:00Z,
2024-03-06,08:28:20Z,15.5
2024-03-06,08:30:00Z,
2024-03-06,08:58:20Z,15.54999924
2024-03-06,09:00:00Z,
2024-03-06,09:28:20Z,15.5
2024-03-06,09:30:00Z,
2024-03-06,09:58:20Z,15.5
2024-03-06,10:00:00Z,
2024-03-06,10:28:20Z,15.5
2024-03-06,10:30:00Z,
2024-03-06,10:58:20Z,15.5
2024-03-06,11:00:00Z,
2024-03-06,11:28:20Z,15.5
2024-03-06,11:30:00Z,
2024-03-06,11:58:20Z,15.5
2024-03-06,12:00:00Z,
2024-03-06,12:28:20Z,15.5
2024-03-06,12:30:00Z,
2024-03-06,12:58:20Z,15.5
2024-03-06,13:00:00Z,
2024-03-06,13:28:20Z,15.5
2024-03-06,13:30:00Z,
2024-03-06,13:58:20Z,15.5
2024-03-06,14:00:00Z,
2024-03-06,14:28:20Z,15.5
2024-03-06,14:30:00Z,
2024-03-06,14:58:20Z,15.5
2024-03-06,15:00:00Z,
2024-03-06,15:28:20Z,15.5
2024-03-06,15:30:00Z,
2024-03-06,15:58:20Z,15.5
2024-03-06,16:00:00Z,
2024-03-06,16:28:20Z,15.54999924
2024-03-06,16:30:00Z,
2024-03-06,16:58:20Z,15.54999924
2024-03-06,17:00:00Z,
2024-03-06,17:28:20Z,15.54999924
2024-03-06,17:30:00Z,
2024-03-06,17:58:20Z,15.60000038
2024-03-06,18:00:00Z,
2024-03-06,18:28:20Z,15.60000038
2024-03-06,18:30:00Z,
2024-03-06,18:58:20Z,15.60000038
2024-03-06,19:00:00Z,
2024-03-06,19:28:20Z,15.64999962
2024-03-06,19:30:00Z,
2024-03-06,19:58:20Z,15.64999962
2024-03-06,20:00:00Z,
2024-03-06,20:28:20Z,15.60000038
2024-03-06,20:30:00Z,
2024-03-06,20:58:20Z,15.60000038
2024-03-06,21:00:00Z,
2024-03-06,21:28:20Z,15.60000038
2024-03-06,21:30:00Z,
2024-03-06,21:58:20Z,15.60000038
2024-03-06,22:00:00Z,
2024-03-06,22:28:20Z,15.60000038
2024-03-06,22:30:00Z,
2024-03-06,22:58:20Z,15.60000038
2024-03-06,23:00:00Z,
2024-03-06,23:28:20Z,15.60000038
2024-03-06,23:30:00Z,
2024-03-06,23:58:20Z,15.60000038
2024-03-07,00:00:00Z,
2024-03-07,00:28:20Z,15.60000038
2024-03-07,00:30:00Z,
2024-03-07,00:58:20Z,15.60000038
2024-03-07,01:00:00Z,
2024-03-07,01:28:20Z,15.54999924
2024-03-07,01:30:00Z,
2024-03-07,01:58:20Z,15.54999924
2024-03-07,02:00:00Z,
2024-03-07,02:28:20Z,15.54999924
2024-03-07,02:30:00Z,
2024-03-07,02:58:20Z,15.54999924
2024-03-07,03:00:00Z,
2024-03-07,03:28:20Z,15.54999924
2024-03-07,03:30:00Z,
2024-03-07,03:58:20Z,15.54999924
2024-03-07,04:00:00Z,
2024-03-07,04:28:20Z,15.54999924
2024-03-07,04:30:00Z,
2024-03-07,04:58:20Z,15.54999924
2024-03-07,05:00:00Z,
2024-03-07,05:28:20Z,15.54999924
2024-03-07,05:30:00Z,
2024-03-07,05:58:20Z,15.54999924
2024-03-07,06:00:00Z,
2024-03-07,06:28:20Z,15.54999924
2024-03-07,06:30:00Z,
2024-03-07,06:58:20Z,15.54999924
2024-03-07,07:00:00Z,
2024-03-07,07:28:20Z,15.5
2024-03-07,07:30:00Z,
2024-03-07,07:58:20Z,15.54999924
2024-03-07,08:00:00Z,
2024-03-07,08:28:20Z,15.5
2024-03-07,08:30:00Z,
2024-03-07,08:58:20Z,15.5
2024-03-07,09:00:00Z,
2024-03-07,09:28:20Z,15.45000076
2024-03-07,09:30:00Z,
2024-03-07,09:58:20Z,15.5
2024-03-07,10:00:00Z,
2024-03-07,10:28:20Z,15.5
2024-03-07,10:30:00Z,
2024-03-07,10:58:20Z,15.5
2024-03-07,11:00:00Z,
2024-03-07,11:28:20Z,15.5
2024-03-07,11:30:00Z,
2024-03-07,11:58:20Z,15.5
2024-03-07,12:00:00Z,
2024-03-07,12:28:20Z,15.5
2024-03-07,12:30:00Z,
2024-03-07,12:58:20Z,15.5
2024-03-07,13:00:00Z,
2024-03-07,13:28:20Z,15.45000076
2024-03-07,13:30:00Z,
2024-03-07,13:58:20Z,15.45000076
2024-03-07,14:00:00Z,
2024-03-07,14:28:20Z,15.45000076
2024-03-07,14:30:00Z,
2024-03-07,14:58:20Z,15.5
2024-03-07,15:00:00Z,
2024-03-07,15:28:20Z,15.5
2024-03-07,15:30:00Z,
2024-03-07,15:58:20Z,15.5
2024-03-07,16:00:00Z,
2024-03-07,16:28:20Z,15.54999924
2024-03-07,16:30:00Z,
2024-03-07,16:58:20Z,15.54999924
2024-03-07,17:00:00Z,
2024-03-07,17:28:20Z,15.54999924
2024-03-07,17:30:00Z,
2024-03-07,17:58:20Z,15.54999924
2024-03-07,18:00:00Z,
2024-03-07,18:28:20Z,15.54999924
2024-03-07,18:30:00Z,
2024-03-07,18:58:20Z,15.54999924
2024-03-07,19:00:00Z,
2024-03-07,19:28:20Z,15.60000038
2024-03-07,19:30:00Z,
2024-03-07,19:58:20Z,15.60000038
2024-03-07,20:00:00Z,
2024-03-07,20:28:20Z,15.64999962
2024-03-07,20:30:00Z,
2024-03-07,20:58:20Z,15.64999962
2024-03-07,21:00:00Z,
2024-03-07,21:28:20Z,15.64999962
2024-03-07,21:30:00Z,
2024-03-07,21:58:20Z,15.70000076
2024-03-07,22:00:00Z,
2024-03-07,22:28:20Z,15.70000076
2024-03-07,22:30:00Z,
2024-03-07,22:58:20Z,15.70000076
2024-03-07,23:00:00Z,
2024-03-07,23:28:20Z,15.70000076
2024-03-07,23:30:00Z,
2024-03-07,23:58:20Z,15.70000076
2024-03-08,00:00:00Z,
2024-03-08,00:28:20Z,15.70000076
2024-03-08,00:30:00Z,
2024-03-08,00:58:20Z,15.70000076
2024-03-08,01:00:00Z,
2024-03-08,01:28:20Z,15.64999962
2024-03-08,01:30:00Z,
2024-03-08,01:58:20Z,15.64999962
2024-03-08,02:00:00Z,
2024-03-08,02:28:20Z,15.64999962
2024-03-08,02:30:00Z,
2024-03-08,02:58:20Z,15.64999962
2024-03-08,03:00:00Z,
2024-03-08,03:28:20Z,15.64999962
2024-03-08,03:30:00Z,
2024-03-08,03:58:20Z,15.64999962
2024-03-08,04:00:00Z,
2024-03-08,04:28:20Z,15.60000038
2024-03-08,04:30:00Z,
2024-03-08,04:58:20Z,15.60000038
2024-03-08,05:00:00Z,
2024-03-08,05:28:20Z,15.60000038
2024-03-08,05:30:00Z,
2024-03-08,05:58:20Z,15.60000038
2024-03-08,06:00:00Z,
2024-03-08,06:28:20Z,15.60000038
2024-03-08,06:30:00Z,
2024-03-08,06:58:20Z,15.60000038
2024-03-08,07:00:00Z,
2024-03-08,07:28:20Z,15.60000038
2024-03-08,07:30:00Z,
2024-03-08,07:58:20Z,15.60000038
2024-03-08,08:00:00Z,
2024-03-08,08:28:20Z,15.60000038
2024-03-08,09:00:00Z,
2024-03-08,09:28:20Z,15.60000038
2024-03-08,09:30:00Z,
2024-03-08,09:58:20Z,15.54999924
2024-03-08,10:00:00Z,
2024-03-08,10:28:20Z,15.60000038
2024-03-08,10:30:00Z,
2024-03-08,10:58:20Z,15.54999924
2024-03-08,11:00:00Z,
2024-03-08,11:28:20Z,15.54999924
2024-03-08,11:30:00Z,
2024-03-08,11:58:20Z,15.54999924
2024-03-08,12:00:00Z,
2024-03-08,12:28:20Z,15.54999924
2024-03-08,12:30:00Z,
2024-03-08,12:58:20Z,15.54999924
2024-03-08,13:00:00Z,
2024-03-08,13:28:20Z,15.54999924
2024-03-08,13:30:00Z,
2024-03-08,13:58:20Z,15.54999924
2024-03-08,14:00:00Z,
2024-03-08,14:28:20Z,15.54999924
2024-03-08,14:30:00Z,
2024-03-08,14:58:20Z,15.54999924
2024-03-08,15:00:00Z,
2024-03-08,15:28:20Z,15.60000038
2024-03-08,15:30:00Z,
2024-03-08,15:58:20Z,15.60000038
2024-03-08,16:00:00Z,
2024-03-08,16:28:20Z,15.60000038
2024-03-08,16:30:00Z,
2024-03-08,16:58:20Z,15.60000038
2024-03-08,17:00:00Z,
2024-03-08,17:28:20Z,15.64999962
2024-03-08,17:30:00Z,
2024-03-08,17:58:20Z,15.75
2024-03-08,18:00:00Z,
2024-03-08,18:28:20Z,15.95000076
2024-03-08,18:30:00Z,
2024-03-08,18:58:20Z,16.14999962
2024-03-08,19:30:00Z,
2024-03-08,19:58:20Z,16.75
2024-03-08,20:00:00Z,
2024-03-08,20:28:20Z,16.85000038
2024-03-08,20:30:00Z,
2024-03-08,20:58:20Z,16.54999924
2024-03-08,21:00:00Z,
2024-03-08,21:28:20Z,16.35000038
2024-03-08,21:30:00Z,
2024-03-08,21:58:20Z,16.20000076
2024-03-08,22:00:00Z,
2024-03-08,22:28:20Z,16.20000076
2024-03-08,22:30:00Z,
2024-03-08,22:58:20Z,16.25
2024-03-08,23:00:00Z,
2024-03-08,23:28:20Z,16.14999962
2024-03-08,23:30:00Z,
2024-03-08,23:58:20Z,16
2024-03-09,00:00:00Z,
2024-03-09,00:28:20Z,15.89999962
2024-03-09,00:30:00Z,
2024-03-09,00:58:20Z,15.89999962
2024-03-09,01:00:00Z,
2024-03-09,01:28:20Z,15.85000038
2024-03-09,01:30:00Z,
2024-03-09,01:58:20Z,15.79999924
2024-03-09,02:00:00Z,
2024-03-09,02:28:20Z,15.79999924
2024-03-09,02:30:00Z,
2024-03-09,02:58:20Z,15.79999924
2024-03-09,03:00:00Z,
2024-03-09,03:28:20Z,15.75
2024-03-09,03:30:00Z,
2024-03-09,03:58:20Z,15.75
2024-03-09,04:00:00Z,
2024-03-09,04:28:20Z,15.70000076
2024-03-09,04:30:00Z,
2024-03-09,04:58:20Z,15.75
2024-03-09,05:00:00Z,
2024-03-09,05:28:20Z,15.70000076
2024-03-09,05:30:00Z,
2024-03-09,05:58:20Z,15.70000076
2024-03-09,06:00:00Z,
2024-03-09,06:28:20Z,15.70000076
2024-03-09,06:30:00Z,
2024-03-09,06:58:20Z,15.64999962
2024-03-09,07:00:00Z,
2024-03-09,07:28:20Z,15.64999962
2024-03-09,07:30:00Z,
2024-03-09,07:58:20Z,15.64999962
2024-03-09,08:00:00Z,
2024-03-09,08:28:20Z,15.60000038
2024-03-09,08:30:00Z,
2024-03-09,08:58:20Z,15.54999924
2024-03-09,09:00:00Z,
2024-03-09,09:28:20Z,15.5
2024-03-09,09:30:00Z,
2024-03-09,09:58:20Z,15.45000076
2024-03-09,10:00:00Z,
2024-03-09,10:28:20Z,15.45000076
2024-03-09,10:30:00Z,
2024-03-09,10:58:20Z,15.39999962
2024-03-09,11:00:00Z,
2024-03-09,11:28:20Z,15.39999962
2024-03-09,11:30:00Z,
2024-03-09,11:58:20Z,15.39999962
2024-03-09,12:00:00Z,
2024-03-09,12:28:20Z,15.39999962
2024-03-09,12:30:00Z,
2024-03-09,12:58:20Z,15.39999962
2024-03-09,13:30:00Z,
2024-03-09,13:58:20Z,15.39999962
2024-03-09,14:00:00Z,
2024-03-09,14:28:20Z,15.39999962
2024-03-09,14:30:00Z,
2024-03-09,14:58:20Z,15.45000076
2024-03-09,15:00:00Z,
2024-03-09,15:28:20Z,15.5
2024-03-09,15:30:00Z,
2024-03-09,15:58:20Z,15.54999924
2024-03-09,16:00:00Z,
2024-03-09,16:28:20Z,15.54999924
2024-03-09,16:30:00Z,
2024-03-09,16:58:20Z,15.64999962
2024-03-09,17:00:00Z,
2024-03-09,17:28:20Z,15.75
2024-03-09,17:30:00Z,
2024-03-09,17:58:20Z,15.89999962
2024-03-09,18:00:00Z,
2024-03-09,18:28:20Z,16
2024-03-09,18:30:00Z,
