processing_group,marine_site_code,marine_site_name,latitude,longitude,georegion,island,time_format,detide_method,height_cutoff,year,month,day,date,day_of_year,sum,n,mean,stddev,stderr,coeffvar
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,4,11/4/2016,309,69.81,4,17.45,0.09,0.05,0.52
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,5,11/5/2016,310,73.04,4,18.26,0.09,0.05,0.5
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,6,11/6/2016,311,107.61,6,17.94,0.43,0.18,2.41
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,7,11/7/2016,312,70.56,4,17.64,0.36,0.18,2.04
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,8,11/8/2016,313,71.34,4,17.84,0.41,0.21,2.31
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,9,11/9/2016,314,34.96,2,17.48,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,10,11/10/2016,315,70.48,4,17.62,0.28,0.14,1.57
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,11,11/11/2016,316,70.86,4,17.72,0.27,0.14,1.53
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,12,11/12/2016,317,72.2,4,18.05,0.22,0.11,1.22
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,13,11/13/2016,318,72.48,4,18.12,0.14,0.07,0.8
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,14,11/14/2016,319,72.2,4,18.05,0.22,0.11,1.22
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,15,11/15/2016,320,72.94,4,18.24,0.11,0.05,0.6
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,16,11/16/2016,321,71.82,4,17.96,0.11,0.05,0.61
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,17,11/17/2016,322,69.32,4,17.33,0.06,0.03,0.33
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,18,11/18/2016,323,69.22,4,17.31,0.05,0.02,0.29
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,19,11/19/2016,324,70.94,4,17.74,0.1,0.05,0.54
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,20,11/20/2016,325,70.57,4,17.64,0.14,0.07,0.8
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,21,11/21/2016,326,70.48,4,17.62,0.28,0.14,1.57
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,22,11/22/2016,327,34.38,2,17.19,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,23,11/23/2016,328,70.18,4,17.55,0.53,0.26,3
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,24,11/24/2016,329,69.24,4,17.31,0.64,0.32,3.68
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,25,11/25/2016,330,65.99,4,16.5,0.47,0.23,2.83
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,26,11/26/2016,331,67.22,4,16.81,0.11,0.05,0.65
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,27,11/27/2016,332,67.24,4,16.81,0.22,0.11,1.31
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,28,11/28/2016,333,60.37,4,15.09,0.17,0.09,1.15
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,29,11/29/2016,334,61.7,4,15.43,0.17,0.08,1.09
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,11,30,11/30/2016,335,61.23,4,15.31,0.31,0.15,1.99
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,1,12/1/2016,336,62.26,4,15.57,0.11,0.05,0.7
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,2,12/2/2016,337,62.84,4,15.71,0.06,0.03,0.37
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,3,12/3/2016,338,60.74,4,15.19,0.11,0.05,0.72
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,4,12/4/2016,339,62.08,4,15.52,0.16,0.08,1.04
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,5,12/5/2016,340,63.04,4,15.76,0.22,0.11,1.39
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,6,12/6/2016,341,63.99,4,16,0.34,0.17,2.1
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,7,12/7/2016,342,63.98,4,16,0.39,0.19,2.42
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,8,12/8/2016,343,30.76,2,15.38,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,9,12/9/2016,344,64.27,4,16.07,0.47,0.24,2.94
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,10,12/10/2016,345,64.28,4,16.07,0.14,0.07,0.9
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,11,12/11/2016,346,64.67,4,16.17,0.14,0.07,0.87
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,12,12/12/2016,347,64.76,4,16.19,0.16,0.08,1
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,13,12/13/2016,348,63.33,4,15.83,0.25,0.13,1.6
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,14,12/14/2016,349,62.28,4,15.57,0.22,0.11,1.41
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,15,12/15/2016,350,61.9,4,15.48,0.11,0.05,0.71
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,16,12/16/2016,351,62.26,4,15.57,0.11,0.05,0.7
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,17,12/17/2016,352,53.84,4,13.46,0.89,0.44,6.61
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,18,12/18/2016,353,55.09,4,13.77,0.2,0.1,1.43
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,19,12/19/2016,354,55.38,4,13.85,0.28,0.14,2.04
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,20,12/20/2016,355,54.8,4,13.7,0.61,0.31,4.47
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,21,12/21/2016,356,42.6,3,14.2,0.28,0.16,1.95
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,22,12/22/2016,357,43.16,3,14.39,0.12,0.07,0.8
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,23,12/23/2016,358,58.26,4,14.57,0.17,0.08,1.15
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,24,12/24/2016,359,58.24,4,14.56,0.28,0.14,1.9
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,25,12/25/2016,360,54.23,4,13.56,0.13,0.07,0.97
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,26,12/26/2016,361,54.8,4,13.7,0.28,0.14,2.02
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,27,12/27/2016,362,53.94,4,13.49,0.31,0.15,2.29
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,28,12/28/2016,363,54.53,4,13.63,0.25,0.13,1.86
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,29,12/29/2016,364,55.67,4,13.92,0.2,0.1,1.41
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,30,12/30/2016,365,57.1,4,14.28,0.05,0.03,0.36
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2016,12,31,12/31/2016,366,57.78,4,14.45,0.05,0.02,0.35
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,1,1/1/2017,1,55.78,4,13.95,0.11,0.05,0.79
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,2,1/2/2017,2,55.68,4,13.92,0.09,0.05,0.65
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,3,1/3/2017,3,55.18,4,13.8,0.17,0.08,1.21
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,4,1/4/2017,4,55.76,4,13.94,0.39,0.2,2.8
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,5,1/5/2017,5,57.97,4,14.49,0.31,0.15,2.11
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,6,1/6/2017,6,28.26,2,14.13,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,7,1/7/2017,7,58.46,4,14.62,0.44,0.22,3.04
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,8,1/8/2017,8,58.54,4,14.64,0.25,0.13,1.72
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,9,1/9/2017,9,60.36,4,15.09,0.22,0.11,1.45
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,10,1/10/2017,10,59.6,4,14.9,0.12,0.06,0.77
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,11,1/11/2017,11,59.4,4,14.85,0.06,0.03,0.39
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,12,1/12/2017,12,59.42,4,14.86,0.17,0.08,1.13
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,13,1/13/2017,13,58.36,4,14.59,0.14,0.07,0.99
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,14,1/14/2017,14,58.64,4,14.66,0.06,0.03,0.39
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,15,1/15/2017,15,58.84,4,14.71,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,16,1/16/2017,16,59.78,4,14.95,0.17,0.08,1.12
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,17,1/17/2017,17,60.36,4,15.09,0.22,0.11,1.45
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,18,1/18/2017,18,59.89,4,14.97,0.09,0.05,0.61
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,19,1/19/2017,19,59.98,4,15,0.23,0.11,1.5
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,20,1/20/2017,20,29.6,2,14.8,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,21,1/21/2017,21,58.24,4,14.56,0.28,0.14,1.9
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,22,1/22/2017,22,56.54,4,14.14,0.11,0.05,0.78
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,23,1/23/2017,23,56.9,4,14.23,0.11,0.05,0.77
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,24,1/24/2017,24,56.92,4,14.23,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,25,1/25/2017,25,57.1,4,14.28,0.05,0.03,0.36
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,26,1/26/2017,26,56.72,4,14.18,0.06,0.03,0.41
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,27,1/27/2017,27,56.25,4,14.06,0.2,0.1,1.4
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,28,1/28/2017,28,56.44,4,14.11,0.14,0.07,1.02
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,29,1/29/2017,29,55.67,4,13.92,0.36,0.18,2.61
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,30,1/30/2017,30,56.72,4,14.18,0.06,0.03,0.41
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,1,31,1/31/2017,31,57.58,4,14.4,0.05,0.02,0.35
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,1,2/1/2017,32,58.55,4,14.64,0.14,0.07,0.96
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,2,2/2/2017,33,59.6,4,14.9,0.33,0.17,2.25
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,3,2/3/2017,34,59.02,4,14.76,0.05,0.03,0.35
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,4,2/4/2017,35,29.22,2,14.61,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,5,2/5/2017,36,59.51,4,14.88,0.15,0.07,0.98
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,6,2/6/2017,37,59.6,4,14.9,0.12,0.06,0.77
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,7,2/7/2017,38,59.2,4,14.8,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,8,2/8/2017,39,60.08,4,15.02,0.14,0.07,0.96
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,9,2/9/2017,40,59.6,4,14.9,0.12,0.06,0.77
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,10,2/10/2017,41,57.59,4,14.4,0.27,0.13,1.85
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,11,2/11/2017,42,58.26,4,14.57,0.17,0.08,1.15
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,12,2/12/2017,43,57.68,4,14.42,0.18,0.09,1.22
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,13,2/13/2017,44,58.54,4,14.64,0.05,0.03,0.34
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,14,2/14/2017,45,60.09,4,15.02,0.04,0.02,0.3
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,15,2/15/2017,46,60.94,4,15.24,0.05,0.03,0.34
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,16,2/16/2017,47,60.76,4,15.19,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,17,2/17/2017,48,59.4,4,14.85,0.06,0.03,0.39
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,18,2/18/2017,49,29.8,2,14.9,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,19,2/19/2017,50,59.98,4,15,0.11,0.05,0.73
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,20,2/20/2017,51,60.18,4,15.05,0.05,0.03,0.35
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,21,2/21/2017,52,61.03,4,15.26,0.04,0.02,0.29
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,22,2/22/2017,53,60.56,4,15.14,0.28,0.14,1.83
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,23,2/23/2017,54,56.92,4,14.23,0.99,0.5,6.98
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,24,2/24/2017,55,50.18,4,12.55,0.51,0.25,4.06
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,25,2/25/2017,56,53.74,4,13.43,0.25,0.13,1.87
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,26,2/26/2017,57,55.85,4,13.96,0.41,0.21,2.97
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,27,2/27/2017,58,55,4,13.75,0.22,0.11,1.6
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,2,28,2/28/2017,59,54.51,4,13.63,0.04,0.02,0.33
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,1,3/1/2017,60,55.1,4,13.78,0.1,0.05,0.7
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,2,3/2/2017,61,56.06,4,14.01,0.05,0.02,0.36
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,3,3/3/2017,62,56.72,4,14.18,0.12,0.06,0.86
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,4,3/4/2017,63,57.78,4,14.45,0.47,0.23,3.25
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,5,3/5/2017,64,29.22,2,14.61,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,6,3/6/2017,65,58.92,4,14.73,0.69,0.35,4.71
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,7,3/7/2017,66,53.94,4,13.49,0.31,0.15,2.29
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,8,3/8/2017,67,55.76,4,13.94,0.33,0.17,2.4
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,9,3/9/2017,68,56.24,4,14.06,0.48,0.24,3.38
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,10,3/10/2017,69,56.25,4,14.06,0.25,0.12,1.76
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,11,3/11/2017,70,57.59,4,14.4,0.36,0.18,2.52
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,13,3/13/2017,72,58.36,4,14.59,0.14,0.07,0.99
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,14,3/14/2017,73,59.9,4,14.98,0.05,0.02,0.33
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,15,3/15/2017,74,58.45,4,14.61,0.08,0.04,0.53
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,16,3/16/2017,75,58.25,4,14.56,0.41,0.2,2.79
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,17,3/17/2017,76,60.18,4,15.05,0.05,0.03,0.35
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,18,3/18/2017,77,61.9,4,15.48,0.44,0.22,2.87
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,19,3/19/2017,78,30.56,2,15.28,0,0,0
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,20,3/20/2017,79,94.94,6,15.82,0.58,0.24,3.68
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,21,3/21/2017,80,62.09,4,15.52,0.39,0.2,2.52
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,22,3/22/2017,81,61.9,4,15.48,0.11,0.05,0.71
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,23,3/23/2017,82,59.11,4,14.78,1.52,0.76,10.3
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,24,3/24/2017,83,53.46,4,13.37,0.45,0.23,3.38
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,25,3/25/2017,84,58.64,4,14.66,0.83,0.42,5.67
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,26,3/26/2017,85,57.5,4,14.38,0.61,0.3,4.22
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,27,3/27/2017,86,58.64,4,14.66,0.29,0.14,1.97
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,28,3/28/2017,87,54.22,4,13.56,1.17,0.58,8.61
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,29,3/29/2017,88,55.68,4,13.92,0.09,0.05,0.65
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,30,3/30/2017,89,58.35,4,14.59,0.2,0.1,1.35
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,3,31,3/31/2017,90,54.03,4,13.51,0.57,0.29,4.23
UCSC,PTFM,Point Fermin,33.70679092,-118.28599,CA South,Mainland,UTC,tide,,2017,4,1,4/1/2017,91,56.14,4,14.04,0.88,0.44,6.29
