Sampling_Date,Sampling_Time,Day_Night,Benthos,Quad_ID,UniqueID,Salinity,pH,TempInSitu,TA,Processing_DateTime,NO3,PO4,SIL,NO2,NH4,Notes
2023-08-02,11:10:00,Day,Surfgrass,P2,P2_Day,33.07,7.97896828033517,19.26,2214.947777,8/3/2023 10:00,0.46,1.01,8.3,0.17,0.1,NA
2023-08-02,11:10:00,Day,Surfgrass,P4,P4_Day,32.89,8.094009673639517,18.53,2195.992281,8/3/2023 10:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-02,11:10:00,Day,Surfgrass,P6,P6_Day,32.82,8.117882167839644,18.4,2176.8265,8/3/2023 10:00,0.68,0.5,5.7,0.09,0.84,NA
2023-08-03,23:09:00,Night,Barnacle,B4,B4_Night,32.86,8.059849265997803,18.4,2223.684058,8/4/2023 10:00,0.4,0.44,4.1,0.08,0.88,NA
2023-08-03,23:09:00,Night,Barnacle,B6,B6_Night,32.9,8.100348649529328,18.57,2220.391967,8/4/2023 10:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-03,23:09:00,Night,Open Ocean,OO2,OO_Night2,33.1,8.124998527306879,18.32,2209.938584,8/4/2023 10:00,NA,NA,NA,NA,NA,NA
2023-08-03,23:09:00,Night,Rockweed,RW2,RW2_Night,32.88,8.055708863708732,19.17,2206.554815,8/4/2023 10:00,0.99,0.63,6.4,0.1,1.35,NA
2023-08-03,23:09:00,Night,Surfgrass,P2,P2_Night,32.9,8.123868507194707,19.26,2188.438082,8/4/2023 10:00,0.63,0.5,6.4,0.15,2.74,NA
2023-08-03,23:09:00,Night,Surfgrass,P4,P4_Night,32.9,8.048395007460785,18.87,2208.601852,8/4/2023 10:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-04,12:29:00,Day,Barnacle,B4,B4_Day,33.15,8.109676849240104,19.95,2236.160262,8/4/2023 20:00,0.41,0.4,6.1,0.05,0.64,NA
2023-08-04,12:29:00,Day,Open Ocean,OO,OO_Day3,33.38,8.145538813576248,19.47,2225.060838,8/4/2023 20:00,0.3,0.39,5,0.03,0.52,NA
2023-08-04,12:29:00,Day,Open Ocean,OO,OO_Day3b,33.18,8.130631385701102,19.47,2229.14092,8/4/2023 20:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-04,12:29:00,Day,Surfgrass,P3,P3_Day,32.95,8.153318953734697,19.05,2208.918513,8/5/2023 10:00,0.62,0.44,6,0.09,0.54,NA
2023-08-05,00:00:00,Night,Barnacle,B2,B2_Night,32.8,8.091051506230416,19.05,2216.076177,8/5/2023 10:00,1.72,1.63,7.1,0.23,1.66,NA
2023-08-05,00:00:00,Night,Barnacle,B3,B3_Night,32.8,8.07196006419377,18.83,2225.407067,8/5/2023 10:00,5.57,0.63,4.6,0.22,2.92,NA
2023-08-05,00:00:00,Night,Mussel,M1,M1_Nightb,32.82,8.071670543190168,18.44,2228.558572,8/5/2023 10:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-05,00:00:00,Night,Mussel,M5,M5_Night,32.8,8.042895347594055,18.49,NA,8/5/2023 10:00,0.56,0.39,7.3,0.06,0.71,Barely any TA/pH water
2023-08-05,00:00:00,Night,Open Ocean,OO3,OO_Night3,32.89,8.138668951142684,18.66,2218.178419,8/5/2023 10:00,0.27,1.7,6.9,0.2,0.52,NA
2023-08-05,00:00:00,Night,Rockweed,RW4,RW4_Nightb,32.95,8.117761871552611,19.73,2211.386187,8/5/2023 10:00,1.92,0.59,7.5,0.13,1.02,NA
2023-08-05,00:00:00,Night,Rockweed,RW6,RW6_Nightb,32.83,8.123404213347607,19.82,2215.911914,8/5/2023 10:00,0.48,0.58,7.9,0.09,0.66,NA
2023-08-06,00:57:00,Night,Barnacle,B6,B6_Nightb,32.92,8.10103524049594,18.53,2235.153751,8/6/2023 12:30,0.68,0.35,11.1,0.13,0.71,NA
2023-08-06,00:57:00,Night,Open Ocean,OO4,OO_Night4,33.41,8.128672162155077,18.1,2208.510374,8/6/2023 12:30,1.68,0.57,7.5,0.1,1.93,NA
2023-08-12,09:17:00,Day,Mussel,M2,M2_Dayb,32.98,8.045339815634703,19.43,2249.598333,8/13/2023 6:00,0.89,0.41,6.9,0.11,0.21,did not triple rinse nut/fdom
2023-08-12,09:17:00,Day,Open Ocean,OO,OO_Day4,32.49,7.896357652288095,19.35,2215.072172,8/13/2023 6:00,0.53,0.36,7.5,0.09,0.24,"did not triple rinse nut/fdom, used backup SAS so persistaltic tubing was not rinsed between deployments, SAS was not calibrated"
2023-08-12,09:17:00,Day,Surfgrass,P3,P3_Dayb,32.48,7.872274602500435,19.35,2248.489652,8/13/2023 6:00,0.17,0.31,6.7,0.06,0,did not triple rinse nut/fdom
2023-08-13,20:48:00,Night,Mussel,M2,M2_Night,33.51,8.121118068184161,19.95,2207.75605,8/14/2023 15:00,0.44,0.44,5.4,0.08,0.45,sampled +30 mins after peak high tide
2023-08-13,20:48:00,Night,Open Ocean,OO,OO_Night4b,33.07,8.174439298944101,19.9,2182.219763,8/14/2023 15:00,9,2.35,8.3,0.28,NA,"sampled +30 mins after peak high tide, did DI rinse in field before sample, then calibrated"
2023-08-13,20:48:00,Night,Surfgrass,P4,P4_Nightb,33.72,8.0992145469971,20.37,2197.076326,8/14/2023 15:00,6.46,1.6,6.4,0.5,NA,sampled +30 mins after peak high tide Not enough water to triple rinse nutrients and fDOM
2023-08-14,10:06:00,Day,Barnacle,B2,B2_Dayb,33.06,7.979891537802886,18.92,2190.4555,8/15/2023 10:00,0.5,0.38,NA,0.08,0.02,NA
2023-08-14,10:06:00,Day,Mussel,M1,M1_Day,33.89,7.987231933784544,18.79,NA,8/15/2023 10:00,0.21,0.3,6.2,0.04,0.13,"in flow area got scraped :( , so surrounded by fewer mussels for this sample"
2023-08-14,10:06:00,Day,Mussel,M5,M5_Dayb,33.75,7.96252551077227,19.22,2235.315783,8/15/2023 10:00,1.9,0.38,4.9,0.09,0.93,NA
2023-08-14,10:06:00,Day,Open Ocean,OO,OO_Day5,33.14,7.987684402583762,18.4,2167.063804,8/15/2023 10:00,0.41,0.38,5.6,0.05,0.28,NA
2023-08-14,10:06:00,Day,Surfgrass,P4,P4_Dayb,33.1,8.003892744123576,18.44,2215.027102,8/15/2023 10:00,0.15,0.34,5.3,0.05,0,"moved slightly out of surfgrass bed, pic taken"
2023-08-15,21:24:00,Night,Mussel,M3,M3_Night,33.03,8.176880058238899,18.19,2218.046794,8/16/2023 12:00,0.59,0.5,6.1,0.08,0.82,NA
2023-08-15,21:24:00,Night,Open Ocean,OO,OO_Night5,33.15,8.206224564545831,18.36,2177.611385,8/16/2023 12:00,0.57,0.61,7.8,0.03,1.23,NA
2023-08-15,21:24:00,Night,Surfgrass,P4,P4_Night,33.12,8.153571169096052,18.4,2193.780971,8/16/2023 12:00,0.41,0.45,6.3,0.07,1.19,"moved slightly out of surfgrass bed, pic taken, also bottle label says 8/16This might be labeled 8/16… might actually be 8/16. Used salinity lab for 8/16"
2023-08-16,21:54:00,Night,Mussel,M4,M4_Night,32.99,8.08823798370643,16.17,2218.328579,8/17/2023 10:00,NA,NA,NA,NA,NA,No Nutrients
2023-08-16,21:54:00,Night,Mussel,M6,M6_Nightb,32.78,8.057987848871779,16.34,2222.322702,8/17/2023 10:00,0.69,0.39,4.7,0.06,0.35,NA
2023-08-16,21:54:00,Night,Open Ocean,OO6,OO_Night6,32.49,8.150231959501603,16.34,2204.097574,8/17/2023 10:00,0.4,0.56,6.3,0.03,1.11,NA
2023-08-17,11:10:00,Day,Mussel,M6,M6_Day,33.74,8.073633225610381,17.11,2232.310357,8/18/2023 12:00,1,0.29,3.7,0.07,0.24,NA
2023-08-17,11:10:00,Day,Open Ocean,OO7,OO_Day7,33.18,8.099747972940392,17.11,2215.987152,8/18/2023 12:00,0.38,0.39,5.1,0.06,1.42,"one of 8/17 is on B5/6 SAS, chance that sample was out of water for a short period"
2023-10-21,17:00:00,Dusk,Rockweed,RW1,RW1_Dusk,33.98,8.013000314367234,18.1,2196.793744,10/22/2023 11:30,0.64,0.37,4.9,0.23,1.26,"Reran, old TA 2213.923014"
2023-10-21,17:00:00,Dusk,Rockweed,RW3,RW3_Dusk,33.57,8.015412619444021,18.14,2155.409691,10/22/2023 11:30,0.67,0.42,5.6,0.12,0.88,"reran, old TA 2176.596425"
2023-10-21,17:00:00,Dusk,Surfgrass,P5,P5_Dusk,33.25,8.016300423844912,18.02,2205.894024,10/22/2023 11:30,0.83,0.41,5.7,0.15,1.54,NA
2023-10-21,17:00:00,Dusk,Open Ocean,OO1,OO_Dusk1,33.47,8.01840428075466,18.02,2201.836085,10/22/2023 11:30,NA,NA,NA,NA,NA,No Nutrients
2023-10-21,17:00:00,Dusk,Barnacle,B5,B5_Dusk,33.49,8.019951596729888,18.02,2161.856937,10/22/2023 11:30,0.7,0.4,5,0.16,1.03,"Reran, old TA 2171.164026"
2023-10-21,17:00:00,Dusk,Open Ocean,OO1,OO_Dusk1a,33.14,8.004452975298413,18.1,2231.968299,10/21/2023 18:00,3.2,0.41,5.9,0.12,1.17,"used RW1 as temperature for all OO HC Hand collected ""mid"" salinity cal done on this day"
2023-10-21,17:00:00,Dusk,Open Ocean,OO1,OO_Dusk1b,33.22,8.011992120475705,18.1,2216.123617,10/21/2023 18:00,NA,NA,NA,NA,NA,"Hand collected ""west"""
2023-10-21,17:00:00,Dusk,Open Ocean,OO1,OO_Dusk1c,33.28,8.024405589169756,18.1,2206.312543,10/21/2023 18:00,NA,NA,NA,NA,NA,"Hand collected ""east"""
2023-10-22,18:05:00,Dusk,Open Ocean,OO2,OO_Dusk2a,33.41,8.055821926588814,19.09,2204.355511,10/22/2023 18:45,1.76,0.33,3.2,0.14,1.46,"Hand collected “west"" not sure if salinity lab is east or west"
2023-10-22,18:05:00,Dusk,Open Ocean,OO2,OO_Dusk2b,33.34,8.070262467680541,19.09,2208.445487,10/22/2023 18:45,NA,NA,NA,NA,NA,"Hand collected “east"" not sure if salinity lab is east or west"
2023-10-22,18:05:00,Dusk,Barnacle,B4,B4_Dusk,33.33,8.054618703165241,18.74,2205.557636,10/23/2023 13:00,0.57,0.36,4.6,0.13,1.51,NA
2023-10-22,18:05:00,Dusk,Surfgrass,P6,P6_Dusk,33.38,8.070045146554525,19.22,2206.949933,10/23/2023 13:00,0.5,0.32,3.4,0.09,0.57,NA
2023-10-22,18:05:00,Dusk,Surfgrass,P3,P3_Dusk,33.24,8.05572029897745,19.17,2199.163284,10/23/2023 13:00,0.44,0.42,4.2,0.13,3.28,Not enough to 3x rinse for nutrients or fill fDOM
2023-10-22,18:05:00,Dusk,Rockweed,RW2,RW2_Dusk,33.25,8.06418303150814,19.09,2121.885913,10/23/2023 13:00,0.85,0.32,4.1,0.11,0.82,"Reran, old TA 2128.588359"
2023-10-23,18:04:00,Dusk,Surfgrass,P1,P1_Dusk,33.22,8.022183031248598,17.67,2185.654833,10/24/2023 11:00,NA,NA,NA,NA,NA,No Nutrients
2023-10-23,18:04:00,Dusk,Barnacle,B3,B3_Duskb,33.22,7.9310239039171355,17.54,2124.613941,10/24/2023 11:00,0.9,0.39,4,0.36,1.83,"Reran, old TA 2135.74415"
2023-10-23,18:04:00,Dusk,Rockweed,RW4,RW4_Dusk,33.3,8.044016589856062,17.67,2174.487496,10/24/2023 11:00,0.76,0.45,5.4,0.12,0.87,"Reran, old TA 2179.213161"
2023-10-23,18:04:00,Dusk,Barnacle,B6,B6_Dusk,33.31,7.975949498416448,17.59,2201.567223,10/24/2023 11:00,2.69,0.47,4.5,0.31,3.32,"tubing was messed up, do not use Reran, old TA 2207.040752"
2023-10-23,18:04:00,Dusk,Barnacle,B2,B2_Dusk,33.24,7.99483615470992,17.59,2199.091539,10/24/2023 11:00,1.45,0.43,5.1,0.26,6.3,TA not 3x rinsed
2023-10-23,18:04:00,Dusk,Open Ocean,OO3,OO_Dusk3a,32.87,8.07871351563622,17.67,2209.576269,10/23/2023 18:50,NA,NA,NA,NA,NA,"Hand collected ""west"", TA is in east bottle"
2023-10-23,18:04:00,Dusk,Open Ocean,OO3,OO_Dusk3b,33.03,8.101235315067354,17.67,2198.196369,10/23/2023 18:50,NA,NA,NA,NA,NA,"Hand collected ""mid"""
2023-10-23,18:04:00,Dusk,Open Ocean,OO3,OO_Dusk3c,33.15,8.11670227339912,17.67,2204.813363,10/23/2023 18:50,0.91,0.51,6.1,0.12,0.49,"Hand collected ""east"", TA is in west bottle"
2023-10-24,18:03:00,Dusk,Open Ocean,OO4,OO_Dusk4a,33.18,8.07801322320164,19.22,2199.373015,10/24/2023 19:00,NA,NA,NA,NA,NA,"Hand collected ""mid"" , Nutrients may be contaminated salinity cal done on this day but not since 10-21"
2023-10-24,18:03:00,Dusk,Open Ocean,OO4,OO_Dusk4b,33.32,8.12035140070876,19.22,2201.032858,10/24/2023 19:00,NA,NA,NA,NA,NA,"Hand collected “west"" 10-24 samples labeled A B C Hand collected ""west"""
2023-10-24,18:03:00,Dusk,Open Ocean,OO4,OO_Dusk4c,33.35,8.112058785808042,19.22,2203.653311,10/24/2023 19:00,1.97,0.44,5.3,0.33,2.05,"Hand collected ""east"""
2023-10-25,18:02:00,Dusk,Open Ocean,OO5,OO_Dusk5a,34.03,8.132943956304983,20.07,2197.487114,10/25/2023 19:00,2.52,0.39,4.4,0.12,0.68,Hand collected
2023-10-25,18:02:00,Dusk,Open Ocean,OO5,OO_Dusk5b,33.58,8.123577706226824,20.07,2198.677918,10/25/2023 19:00,NA,NA,NA,NA,NA,Hand collected
2023-10-25,18:02:00,Dusk,Open Ocean,OO5,OO_Dusk5c,33.66,8.1316283104294,20.07,2205.559714,10/25/2023 19:00,NA,NA,NA,NA,NA,"Hand collected, reran old TA 2198.307934"
2023-10-26,18:01:00,Dusk,Open Ocean,OO6,OO_Dusk6c,33.68,8.130064507491747,19.52,2196.802024,10/26/2023 19:00,NA,NA,NA,NA,NA,"Hand collected, reran old TA  2202.836256"
2023-10-26,18:01:00,Dusk,Open Ocean,OO6,OO_Dusk6b,33.54,8.107758858995227,19.52,2200.280711,10/26/2023 19:00,NA,NA,NA,NA,NA,Hand collected
2023-10-26,18:01:00,Dusk,Open Ocean,OO6,OO_Dusk6a,33.62,8.101050570836794,19.52,2199.627689,10/26/2023 19:00,3.05,0.47,5.9,0.18,1.38,Hand collected
2023-10-24,18:03:00,Dusk,Rockweed,RW6,RW6_Dusk,33.36,8.109268599066974,19.3,2243.002162,10/25/2023 11:30,0.58,0.41,9.2,0.09,0.61,"Reran, old TA 2245.661047"
2023-10-24,18:03:00,Dusk,Surfgrass,P4,P4_Duskb,33.54,8.134091553015102,19.09,2199.043292,10/25/2023 11:30,NA,NA,NA,NA,NA,No Nutrients
2023-10-24,18:03:00,Dusk,Mussel,M5,M5_Dusk,33.46,8.044151697241631,19.47,2193.926626,10/25/2023 11:30,0.96,0.31,2.8,0.13,1.1,NA
2023-10-24,18:03:00,Dusk,Mussel,M4,M4_Dusk,33.42,8.041167796658225,19.39,2210.828132,10/25/2023 11:30,NA,NA,NA,NA,NA,No Nutrients
2023-10-24,18:03:00,Dusk,Barnacle,B1,B1_Dusk,33.41,8.07327462011461,19.3,2192.144038,10/25/2023 11:30,0.5,0.36,3.9,0.11,0.92,"had some phyllo wrapped around it, Reran, old TA 2193.870775"
2023-10-25,18:02:00,Dusk,Open Ocean,OO5,OO_Dusk5,33.4,8.111664789519883,19.99,2209.358642,10/26/2023 21:00,NA,NA,NA,NA,NA,"Nutrient and TA bag might have been switched, reran old TA 2205.629505"
2023-10-25,18:02:00,Dusk,Open Ocean,OO5,OO_Dusk5d,32.78,7.954612584274053,19.99,NA,10/26/2023 21:00,NA,NA,NA,NA,NA,"From Nutrient bag, dirty water"
2023-10-25,18:02:00,Dusk,Mussel,M4,M4_Duskb,33.64,8.073822792252795,20.16,2214.978147,10/26/2023 21:00,0.66,0.12,3.6,0.07,1.43,NA
2023-10-25,18:02:00,Dusk,Surfgrass,P4,P4_Duskc,33.31,8.079813833946714,20.07,NA,10/26/2023 21:00,0.02,0.19,3.3,0.04,0.5,Not enough TA
2023-10-25,18:02:00,Dusk,Mussel,M6,M6_Dusk,33.58,8.088871897603628,20.16,2211.905567,10/26/2023 21:00,NA,NA,NA,NA,NA,No Nutrients
2023-10-25,18:02:00,Dusk,Mussel,M1,M1_Dusk,33.65,8.06553677843047,20.12,2128.295257,10/26/2023 21:00,0.23,0.13,2.7,0.06,0.16,"Reran, old TA 2134.53472"
2023-10-26,18:01:00,Dusk,Mussel,M2,M2_Dusk,33.56,8.06462634423965,19.73,2177.1248650000002,10/27/2023 21:00,1.69,0.43,4.9,0.35,2.01,"Reran, old TA 2188.977253"
2023-10-26,18:01:00,Dusk,Mussel,M6,M6_Duskb,33.46,8.130023373231275,19.65,2166.188583,10/27/2023 21:00,0.67,0.24,5.6,0.13,1.14,NA
2023-10-26,18:01:00,Dusk,Surfgrass,P2,P2_Dusk,33.65,8.16628857388142,19.52,2188.559122,10/27/2023 21:00,NA,NA,NA,NA,NA,No Nutrients
2023-10-26,18:01:00,Dusk,Surfgrass,P4,P4_Duskd,33.51,8.127798569017761,19.09,2179.547055,10/27/2023 21:00,0.18,0.7,6.7,0.11,0.62,"Used pH/sal water for TA, not enough"
2023-10-26,18:01:00,Dusk,Barnacle,B6,B6_Duskc,33.71,8.102257436854554,20.07,2195.651254,10/27/2023 21:00,NA,NA,NA,NA,NA,"Left for 2 days without processing, no Nutrients, reran old TA 2204.665304"
2023-10-27,19:04:00,Dusk,Mussel,M3,M3_Dusk,33.08,8.148800473422751,19.17,2184.512938,10/28/2023 21:00,0.18,5.3,6.4,0.53,0.55,"No fDOM, not 3x rinsed for nutrients"
2023-10-27,19:04:00,Dusk,Surfgrass,P3,P3_Duskb,33.14,8.122428869222038,19.17,2163.141588,10/28/2023 21:00,0.3,0.34,4.7,0.07,0.15,NA
2023-10-27,19:04:00,Dusk,Open Ocean,OO7,OO_Dusk7,33.06,8.15403220942646,19.05,2185.519865,10/28/2023 21:00,0.48,0.39,5.4,0.14,0.09,NA
2023-10-27,19:04:00,Dusk,Barnacle,B6,B6_Duskd,33.02,8.158577926273033,19.09,2168.700429,10/28/2023 21:00,0.58,0.42,4.5,0.13,0.26,"Reran, old TA 2184.136226"
2023-10-27,19:04:00,Dusk,Open Ocean,OO7,OO_Dusk7a,33.35,8.145335027555358,19.05,2196.578923,10/27/2023 19:10,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
2023-10-27,19:04:00,Dusk,Open Ocean,OO7,OO_Dusk7b,33.48,8.136676197536312,19.05,2192.21933,10/27/2023 19:10,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
2023-10-27,19:04:00,Dusk,Open Ocean,OO7,OO_Dusk7c,33.75,8.149996123755464,19.05,2201.754365,10/27/2023 19:10,3.54,0.56,6,0.45,2.52,Hand collected salinity lab not labeled A B C
2023-10-29,07:04:00,Dawn,Open Ocean,OO8,OO_Dawn8a,33.21,7.840294263884554,17.03,2213.370219,10/29/2023 8:00,1.37,0.42,5,0.11,0.94,Hand collected salinity lab not labeled A B C
2023-10-29,07:04:00,Dawn,Open Ocean,OO8,OO_Dawn8b,33.28,7.829188660869504,17.03,2220.372576,10/29/2023 8:00,4.35,0.46,5.3,0.2,1.3,Hand collected salinity lab not labeled A B C
2023-10-29,07:04:00,Dawn,Open Ocean,OO8,OO_Dawn8c,33.11,7.902425478814902,17.03,2212.627149,10/29/2023 8:00,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
2023-10-29,07:04:00,Dawn,Open Ocean,OO8,OO_Dawn8,33.16,7.853728343484299,17.29,2219.992029,10/29/2023 21:00,1,0.36,5.3,0.19,1.64,NA
2023-10-29,07:04:00,Dawn,Surfgrass,P3,P3_Dawn,33.2,7.832765652275529,17.33,NA,10/29/2023 21:00,0.47,0.33,4.7,0.09,0.42,NA
2023-10-29,07:04:00,Dawn,Surfgrass,P6,P6_Dawn,33.13,7.801985500707068,17.37,NA,10/29/2023 21:00,0.6,0.31,4.3,0.25,1.57,NA
2023-10-29,07:04:00,Dawn,Rockweed,RW2,RW2_Dawn,33.2,7.8389339423737985,17.37,2169.688766,10/29/2023 21:00,3.3,0.34,5.4,0.46,1.76,"Reran, old TA 2184.952387"
2023-10-29,07:04:00,Dawn,Rockweed,RW6,RW6_Dawn,33.13,7.862519315747688,17.07,2212.891689,10/29/2023 21:00,0.56,0.33,5.5,0.08,0.73,"Reran, old TA 2230.352474"
2023-10-29,07:04:00,Dawn,Barnacle,B3,B3_Dawn,33.17,7.884361852818281,17.33,2178.453922,10/29/2023 21:00,0.69,0.48,4.6,0.16,0.65,Reran old TA 2190.67308
2023-10-29,07:04:00,Dawn,Barnacle,B6,B6_Dawn,33.12,7.89940177589343,17.24,2171.438491,10/29/2023 21:00,0.82,0.36,4.5,0.16,1.26,Reran old TA 2183.365867
2023-10-29,07:04:00,Dawn,Mussel,M2,M2_Dawn,33.02,7.895661774066457,17.5,2226.115478,10/29/2023 21:00,NA,NA,NA,NA,NA,No Nutrients
2023-10-30,07:05:00,Dawn,Open Ocean,OO9,OO_Dawn9,33.91,7.896923971005054,16.9,2218.082634,10/30/2023 21:00,NA,NA,NA,NA,NA,NA
2023-10-30,07:05:00,Dawn,Mussel,M2,M2_Dawnb,33.69,7.916763228457082,17.33,2197.223426,10/30/2023 21:00,1.22,0.28,3.8,0.17,1.2,NA
2023-10-30,07:05:00,Dawn,Mussel,M6,M6_Dawnb,33.74,7.892891587420166,17.11,2173.778668,10/30/2023 21:00,NA,NA,NA,NA,NA,No Nutrients
2023-10-30,07:05:00,Dawn,Rockweed,RW1,RW1_Dawn,33.46,7.869447045968015,16.34,2211.992538,10/30/2023 21:00,NA,NA,NA,NA,NA,"No Nutrients, reran old TA 2210.155966"
2023-10-30,07:05:00,Dawn,Rockweed,RW4,RW4_Dawnb,33.6,7.863037372446988,16.39,2175.352399,10/30/2023 21:00,0.81,0.35,5,0.19,1.39,"Reran, old TA 2192.426191"
2023-10-30,07:05:00,Dawn,Rockweed,RW5,RW5_Dawn,33.4,7.847674394699041,16.3,2221.966929,10/30/2023 21:00,NA,NA,NA,NA,NA,"TA not 3x rinsed, reran old TA 2234.611657"
2023-10-30,07:05:00,Dawn,Surfgrass,P4,P4_Dawn,33.58,7.868115241488237,16.39,2197.016822,10/30/2023 21:00,0.4,0.29,5,0.04,0.41,NA
2023-10-30,07:05:00,Dawn,Surfgrass,P5,P5_Dawn,33.49,7.833024336786383,16.39,2225.757886,10/30/2023 21:00,NA,NA,NA,NA,NA,"No Nutrients, TA not 3x rinsed"
2023-10-30,07:05:00,Dawn,Barnacle,B2,B2_Dawn,33.53,7.858489564355712,16.73,2132.800835,10/30/2023 21:00,1.1,0.29,4.1,0.17,2.34,"Reran, old TA 2136.819804"
