FileName,Intercept,umol.L.sec,Temp.C,temp.treatment,Intercept.avg,umol.L.sec.avg
RW_T3_B_Dark_20240429_O2,208.5784642,-3.16E-05,16.29078161,16,242.5441082,-2.15E-05
RW_T3_B_Light_20240429_O2,209.9706123,-3.74E-04,16.55798876,16,242.5441082,-2.15E-05
RW_T5_Blank_Dark_20240613_O2,261.9369863,7.68E-06,16.36849123,16,242.5441082,-2.15E-05
RW_T5_Blank_Light_20240613_O2,262.5638796,3.39E-05,16.31948276,16,242.5441082,-2.15E-05
RW_T6_B_Dark_20240429_O2,259.5863389,-2.23E-04,16.66722989,16,242.5441082,-2.15E-05
RW_T6_B_Light_20240429_O2,259.7963893,-5.88E-05,16.547,16,242.5441082,-2.15E-05
RW_T6_Blank_Dark_20240613_O2,247.4196823,-1.30E-04,16.11232203,16,242.5441082,-2.15E-05
RW_T6_Blank_Light_20240613_O2,244.6756807,2.44E-04,16.20403448,16,242.5441082,-2.15E-05
RW_T7_B_Dark_20240429_O2,257.4503489,4.78E-04,16.5785618,16,242.5441082,-2.15E-05
RW_T7_B_Light_20240429_O2,262.2598001,-1.31E-04,16.65873563,16,242.5441082,-2.15E-05
RW_T8_B_Light_20240429_O2,253.2926042,-1.73E-05,16.3692809,16,242.5441082,-2.15E-05
RW_T8_B_Light_20240430_O2,251.5201298,-2.72E-04,16.51093182,16,242.5441082,-2.15E-05
RW_T1_B_Dark_20240428_O2,230.0218881,-4.85E-04,19.55341379,20,226.6149696,-2.56E-05
RW_T1_B_Light_20240428_O2,232.6204275,-3.57E-04,19.9767093,20,226.6149696,-2.56E-05
RW_T10_Blank_Dark_20240612_O2,237.2524385,-6.64E-05,19.73703636,20,226.6149696,-2.56E-05
RW_T10_Blank_Light_20240612_O2,236.8717816,5.26E-05,20.16158929,20,226.6149696,-2.56E-05
RW_T11_B_Dark_20240428_O2,193.040924,-7.03E-05,20.06465517,20,226.6149696,-2.56E-05
RW_T11_B_Light_20240428_O2,193.8373904,-3.54E-05,20.20187912,20,226.6149696,-2.56E-05
RW_T12_Blank_Dark_20240612_O2,244.8756997,-6.84E-05,20.2575124,20,226.6149696,-2.56E-05
RW_T12_Blank_Light_20240612_O2,245.8197326,2.05E-06,19.91805357,20,226.6149696,-2.56E-05
RW_T13_B_Dark_20240428_O2,235.9231569,2.34E-05,20.25075824,20,226.6149696,-2.56E-05
RW_T13_B_Light_20240428_O2,235.1410649,1.33E-05,20.62183721,20,226.6149696,-2.56E-05
RW_T14_Blank_Dark_20240612_O2,195.2905612,-3.62E-05,20.05758462,20,226.6149696,-2.56E-05
RW_T14_Blank_Light_20240612_O2,196.1309331,-2.63E-04,19.95033898,20,226.6149696,-2.56E-05
RW_T15_Blank_Dark_20240612_O2,242.8640982,-2.85E-05,19.98645161,20,226.6149696,-2.56E-05
RW_T15_Blank_Light_20240612_O2,243.2281661,-1.46E-04,20.10728571,20,226.6149696,-2.56E-05
RW_T17_B_Dark_20240428_O2,226.0892499,3.00E-04,20.15387209,20,226.6149696,-2.56E-05
RW_T17_B_Light_20240428_O2,226.0657177,9.46E-05,20.41643678,20,226.6149696,-2.56E-05
RW_T19_B_Dark_20240428_O2,234.0481687,5.20E-04,19.93497674,20,226.6149696,-2.56E-05
RW_T19_B_Light_20240428_O2,238.0223892,8.22E-05,19.93361628,20,226.6149696,-2.56E-05
RW_T2_B_Dark_20240428_O2,188.6677496,-5.51E-05,19.99230682,20,226.6149696,-2.56E-05
RW_T2_B_Light_20240428_O2,189.0884675,-3.58E-04,20.50732955,20,226.6149696,-2.56E-05
RW_T3_Blank_Dark_20240612_O2,189.2088957,2.06E-05,20.07354386,20,226.6149696,-2.56E-05
RW_T3_Blank_Light_20240612_O2,195.3476973,-2.44E-04,20.00205357,20,226.6149696,-2.56E-05
RW_T4_B_Dark_20240428_O2,243.9442735,-6.47E-05,19.98473913,20,226.6149696,-2.56E-05
RW_T4_B_Light_20240428_O2,243.9442735,-6.47E-05,19.98473913,20,226.6149696,-2.56E-05
RW_T4_Blank_Dark_20240612_O2,242.5061708,1.50E-04,20.16810169,20,226.6149696,-2.56E-05
RW_T4_Blank_Light_20240612_O2,242.6421592,1.45E-04,20.25940351,20,226.6149696,-2.56E-05
RW_T5_B_Dark_20240428_O2,239.8618271,9.42E-05,20.02649438,20,226.6149696,-2.56E-05
RW_T5_B_Light_20240428_O2,241.3726405,2.68E-05,19.95305814,20,226.6149696,-2.56E-05
RW_T7_Blank_Dark_20240612_O2,250.0767528,7.87E-05,19.79721429,20,226.6149696,-2.56E-05
RW_T7_Blank_Light_20240612_O2,249.6540612,-7.72E-05,20.0645614,20,226.6149696,-2.56E-05
RW_T8_Blank_Dark_20240612_O2,243.3474929,-6.75E-05,20.05998214,20,226.6149696,-2.56E-05
RW_T8_Blank_Light_20240612_O2,249.8691126,-1.07E-04,20.5394,20,226.6149696,-2.56E-05
RW_T9_B_Dark_20240428_O2,204.9124133,1.86E-04,20.36803448,20,226.6149696,-2.56E-05
RW_T9_B_Light_20240428_O2,204.4718674,-2.17E-05,20.38171591,20,226.6149696,-2.56E-05
RW_T9_Blank_Light_20240612_O2,242.7935982,-1.09E-04,20.13692857,20,226.6149696,-2.56E-05
RW_T9_Blank_Dark_20240612_O2,242.7935982,-1.09E-04,20.13692857,20,226.6149696,-2.56E-05
TEG_T1_Blank_20240615_O2,245.3288405,-8.66E-05,15.82306818,16,243.5378264,-2.00E-04
TEG_T10_B_2024030_O2,253.6842786,-3.09E-04,16.07768817,16,243.5378264,-2.00E-04
TEG_T11_Blank_20240615_O2,259.6414481,-3.09E-04,15.70489773,16,243.5378264,-2.00E-04
TEG_T12_B_20240430_O2,201.5741772,-2.37E-04,16.26494624,16,243.5378264,-2.00E-04
TEG_T13_Blank_20240615_O2,261.7928345,-6.58E-05,15.79109659,16,243.5378264,-2.00E-04
TEG_T14_B_20240430_O2,257.1745921,-1.18E-04,16.25147799,16,243.5378264,-2.00E-04
TEG_T15_B_20240430_O2,202.50803,-2.62E-04,16.26014773,16,243.5378264,-2.00E-04
TEG_T17_Blank_20240615_O2,266.4624025,-2.37E-04,15.86431818,16,243.5378264,-2.00E-04
TEG_T18_B_20240430_O2,207.3702124,-2.63E-04,16.26766102,16,243.5378264,-2.00E-04
TEG_T18_Blank_20240615_O2,259.916889,-1.66E-04,15.80943429,16,243.5378264,-2.00E-04
TEG_T19_Blank_20240615_O2,225.6680559,-1.02E-04,15.99755429,16,243.5378264,-2.00E-04
TEG_T2_Blank_20240615_O2,255.4066863,-3.26E-04,15.96431818,16,243.5378264,-2.00E-04
TEG_T3_B_20240430_O2,261.3983471,-3.45E-04,16.07582682,16,243.5378264,-2.00E-04
TEG_T5_Blank_20240615_O2,225.6426913,1.50E-04,15.98439773,16,243.5378264,-2.00E-04
TEG_T6_B_20240430_O2,259.876765,-3.05E-04,16.1427486,16,243.5378264,-2.00E-04
TEG_T6_B_20240501_O2,259.828207,-2.53E-04,16.24983051,16,243.5378264,-2.00E-04
TEG_T6_Blank_20240615_O2,264.2792722,-3.00E-04,15.82636932,16,243.5378264,-2.00E-04
TEG_T7_B_20240430_O2,207.3834886,-1.95E-04,16.1960566,16,243.5378264,-2.00E-04
TEG_T7_Blank_20240614_O2,,,,16,243.5378264,-2.00E-04
TEG_T8_B_20240430_O2,252.2814827,-7.17E-05,16.30401695,16,243.5378264,-2.00E-04
TEG_T10_Blank_20240614_O2,238.6597643,-3.55E-04,19.93914773,20,219.3479694,-3.11E-04
TEG_T11_B_20240430_O2,243.6821667,-5.48E-04,20.08792571,20,219.3479694,-3.11E-04
TEG_T12_Blank_20240614_O2,227.8365483,-1.54E-04,20.01241243,20,219.3479694,-3.11E-04
TEG_T13_B_20240430_O2,206.8424939,-2.68E-04,20.31444318,20,219.3479694,-3.11E-04
TEG_T14_Blank_20240614_O2,195.8537466,-3.66E-04,20.17309659,20,219.3479694,-3.11E-04
TEG_T15_Blank_20240614_O2,211.0092181,-2.97E-04,20.13198295,20,219.3479694,-3.11E-04
TEG_T17_B_20240430_O2,186.2971489,-3.51E-04,20.29632857,20,219.3479694,-3.11E-04
TEG_T19_B_20240430_O2,193.6335238,-1.81E-04,20.05508475,20,219.3479694,-3.11E-04
TEG_T2_B_20240430_O2,234.6270503,-2.63E-04,20.09501136,20,219.3479694,-3.11E-04
TEG_T3_Blank_20240614_O2,210.4952377,1.51E-05,19.31348315,20,219.3479694,-3.11E-04
TEG_T4_B_20240430_O2,186.9811495,-3.46E-04,19.99446328,20,219.3479694,-3.11E-04
TEG_T4_Blank_20240614_O2,197.4172452,-3.33E-04,19.33460674,20,219.3479694,-3.11E-04
TEG_T5_B_20240430_O2,238.1737293,-2.11E-04,20.23092614,20,219.3479694,-3.11E-04
TEG_T8_Blank_20240614_O2,238.9384066,-3.49E-04,19.89319318,20,219.3479694,-3.11E-04
TEG_T8_Blank_20240615B_O2,227.3352742,-5.77E-04,19.76211932,20,219.3479694,-3.11E-04
TEG_T9_B_20240430_O2,233.8169494,-4.53E-04,20.33571905,20,219.3479694,-3.11E-04
TEG_T9_Blank_20240614_O2,239.4550621,-2.96E-04,19.84593143,20,219.3479694,-3.11E-04
TEG_T1_B_20240430_O2,237.2087339,-2.68E-04,19.88467045,20,219.3479694,-3.11E-04
