run,Species,tank,pH_treatment,temp_treatment,Date,FileName,Light_Dark,chamber.channel,ID,BLANK,notes,start.time,stop.time,volume,AFDW
350,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,15:35,15:45,646,1.2245
350,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,15:35,15:45,648,0.4002
350,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,15:35,15:45,648,0.9014
350,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,15:35,15:45,646,1.2589
350,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,15:35,15:45,646,1.4595
350,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,15:35,15:45,648,1.1605
450,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,15:45,15:55,650,
450,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,15:45,15:55,646,1.2245
450,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,15:45,15:55,648,0.4002
450,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,15:45,15:55,648,0.9014
450,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,15:45,15:55,646,1.2589
450,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,15:45,15:55,646,1.4595
450,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,15:45,15:55,648,1.1605
600,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,15:55,16:05,650,
600,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,15:55,16:05,646,1.2245
600,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,15:55,16:05,648,0.4002
600,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,15:55,16:05,648,0.9014
600,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,15:55,16:05,646,1.2589
600,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,15:55,16:05,646,1.4595
600,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,15:55,16:05,648,1.1605
800,Rockweed,PI,8,16,20240617,RW_PI_16_Blank_20240617_O2,Light,,Blank,1,,16:05,16:17,650,
800,Rockweed,PI,8,16,20240617,RW_PI_16_6_20240617_O2,Light,,6,0,,16:05,16:17,646,1.2245
800,Rockweed,PI,8,16,20240617,RW_PI_16_5_20240617_O2,Light,,5,0,,16:05,16:17,648,0.4002
800,Rockweed,PI,8,16,20240617,RW_PI_16_4_20240617_O2,Light,,4,0,,16:05,16:17,648,0.9014
800,Rockweed,PI,8,16,20240617,RW_PI_16_3_20240617_O2,Light,,3,0,,16:05,16:17,646,1.2589
800,Rockweed,PI,8,16,20240617,RW_PI_16_2_20240617_O2,Light,,2,0,,16:05,16:17,646,1.4595
800,Rockweed,PI,8,16,20240617,RW_PI_16_1_20240617_O2,Light,,1,0,,16:05,16:17,648,1.1605
0,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,12:00,12:21,650,
0,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,12:00,12:21,648,0.4305
0,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,12:00,12:21,648,0.8009
0,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,12:00,12:21,648,0.9185
0,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,12:00,12:21,648,0.7419
0,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,12:00,12:21,648,0.542
0,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,12:00,12:21,646,1.6879
100,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,12:21,12:41,650,
100,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,12:21,12:41,648,0.4305
100,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,12:21,12:41,648,0.8009
100,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,12:21,12:41,648,0.9185
100,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,12:21,12:41,648,0.7419
100,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,12:21,12:41,648,0.542
100,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,12:21,12:41,646,1.6879
150,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,12:41,12:51,650,
150,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,12:41,12:51,648,0.4305
150,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,12:41,12:51,648,0.8009
150,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,12:41,12:51,648,0.9185
150,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,12:41,12:51,648,0.7419
150,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,12:41,12:51,648,0.542
150,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,12:41,12:51,646,1.6879
200,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,12:51,13:01,650,
200,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,12:51,13:01,648,0.4305
200,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,12:51,13:01,648,0.8009
200,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,12:51,13:01,648,0.9185
200,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,12:51,13:01,648,0.7419
200,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,12:51,13:01,648,0.542
200,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,12:51,13:01,646,1.6879
260,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,13:01,13:11,650,
260,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,13:01,13:11,648,0.4305
260,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,13:01,13:11,648,0.8009
260,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,13:01,13:11,648,0.9185
260,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,13:01,13:11,648,0.7419
260,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,13:01,13:11,648,0.542
260,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,13:01,13:11,646,1.6879
350,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,13:11,13:21,650,
350,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,13:11,13:21,648,0.4305
350,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,13:11,13:21,648,0.8009
350,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,13:11,13:21,648,0.9185
350,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,13:11,13:21,648,0.7419
350,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,13:11,13:21,648,0.542
350,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,13:11,13:21,646,1.6879
450,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,13:21,13:31,650,
450,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,13:21,13:31,648,0.4305
450,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,13:21,13:31,648,0.8009
450,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,13:21,13:31,648,0.9185
450,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,13:21,13:31,648,0.7419
450,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,13:21,13:31,648,0.542
450,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,13:21,13:31,646,1.6879
600,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,13:31,13:41,650,
600,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,13:31,13:41,648,0.4305
600,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,13:31,13:41,648,0.8009
600,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,13:31,13:41,648,0.9185
600,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,13:31,13:41,648,0.7419
600,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,13:31,13:41,648,0.542
600,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,13:31,13:41,646,1.6879
800,Rockweed,PI,8,20,20240617,RW_PI_20_Blank_20240617_O2,Light,,Blank,1,,13:41,13:52,650,
800,Rockweed,PI,8,20,20240617,RW_PI_20_6_20240617_O2,Light,,6,0,,13:41,13:52,648,0.4305
800,Rockweed,PI,8,20,20240617,RW_PI_20_5_20240617_O2,Light,,5,0,,13:41,13:52,648,0.8009
800,Rockweed,PI,8,20,20240617,RW_PI_20_4_20240617_O2,Light,,4,0,,13:41,13:52,648,0.9185
800,Rockweed,PI,8,20,20240617,RW_PI_20_3_20240617_O2,Light,,3,0,,13:41,13:52,648,0.7419
800,Rockweed,PI,8,20,20240617,RW_PI_20_2_20240617_O2,Light,,2,0,,13:41,13:52,648,0.542
800,Rockweed,PI,8,20,20240617,RW_PI_20_1_20240617_O2,Light,,1,0,,13:41,13:52,646,1.6879
