"","date","ID","tank","sample_type","TA","water_mass","...7","TA_initial","mean.blanks","pH_treatment","temp_treatment","volume","wet_weight","TA.start","TA.stop","deltaTA","timediff","umol.cm2.hr"
"13",20240528,"8","18",NA,2422.516571,59.8124,16,2418.6668035,2.69542650000039,8,16,0.12,2.1306,2024-07-28 06:37:00,2024-07-28 08:30:00,-6.54519400000027,1.88333333333333,-0.100315611207616
"14",20240528,"11","18",NA,2424.638169,59.8375,16,2418.6668035,2.69542650000039,8,16,0.1205,2.1805,2024-07-28 06:38:00,2024-07-28 08:35:00,-8.66679199999999,1.95,-0.125877638850181
"15",20240528,"37","18",NA,2420.5584,59.9561,16,2418.6668035,2.69542650000039,8,16,0.121,2.022,2024-07-28 06:35:00,2024-07-28 08:39:00,-4.58702300000004,2.06666666666667,-0.0680704421813685
"16",20240716,"13","115",NA,2362.227323,60.2734,NA,2333.028471,-11.1460119999997,7.3,20,0.115,1.8433,2024-07-28 14:46:00,2024-07-28 16:00:00,-18.0528400000003,1.23333333333333,-0.468016054124441
"17",20240716,"35","115",NA,2356.848424,60.3693,NA,2333.028471,-11.1460119999997,7.3,20,0.115,1.7411,2024-07-28 14:46:00,2024-07-28 16:00:00,-12.673941,1.23333333333333,-0.347855765780642
"18",20240716,"66","115",NA,2336.274623,60.3473,NA,2333.028471,-11.1460119999997,7.3,20,0.11525,1.5213,2024-07-28 14:46:00,2024-07-28 16:00:00,7.89985999999999,1.23333333333333,0.24869031019656
"19",20240716,"4","108",NA,2330.116994,59.7485,NA,2347.734911,3.56042800000023,7.8,20,0.115,1.7949,2024-07-28 16:08:00,2024-07-28 17:12:00,14.0574889999998,1.06666666666667,0.432743428222405
"20",20240716,"11","112",NA,2341.997798,59.9822,NA,2338.03088366667,-6.14359933333299,7.7,20,0.115,1.7705,2024-07-28 01:23:00,2024-07-28 02:38:00,2.17668499999991,1.25,0.0579670701779134
"21",20240716,"14","112",NA,2272.371065,59.7508,NA,2338.03088366667,-6.14359933333299,7.7,20,0.115,1.7474,2024-07-28 01:23:00,2024-07-28 02:38:00,71.803418,1.25,1.93746775706764
"22",20240716,"28","112",NA,2337.79889,59.9834,NA,2338.03088366667,-6.14359933333299,7.7,20,0.11525,1.4999,2024-07-28 01:23:00,2024-07-28 02:38:00,6.37559299999975,1.25,0.200855195834715
"23",20240716,"29","109",NA,2293.78697,60.3183,NA,2336.24599233333,-7.92849066666622,7.5,20,0.11475,1.9345,2024-07-28 11:53:00,2024-07-28 13:10:00,50.3875129999997,1.28333333333333,1.19360678345733
"24",20240716,"55","109",NA,2334.873189,60.0279,NA,2336.24599233333,-7.92849066666622,7.5,20,0.115,1.6644,2024-07-28 11:53:00,2024-07-28 13:10:00,9.30129399999987,1.28333333333333,0.256648009403174
"25",20240717,"20","108",NA,2335.13432,59.8654,NA,2347.734911,3.56042800000023,7.8,20,0.11525,1.4608,2024-07-28 10:37:00,2024-07-28 11:45:00,9.04016299999967,1.13333333333333,0.322524449353007
"26",20240717,"43","108",NA,2346.409646,60.2276,NA,2347.734911,3.56042800000023,7.8,20,0.115,2.051,2024-07-28 10:37:00,2024-07-28 11:45:00,-2.23516300000028,1.13333333333333,-0.0566731806489733
"27",20240717,"49","103",NA,2375.702425,59.6598,NA,2338.837855,-5.33662800000002,7.2,20,0.115,1.6642,2024-07-28 09:00:00,2024-07-28 10:15:00,-31.5279420000002,1.25,-0.893247485458483
"28",20240717,"52","103",NA,2367.690756,60.1568,NA,2338.837855,-5.33662800000002,7.2,20,0.11525,1.5622,2024-07-28 09:00:00,2024-07-28 10:15:00,-23.5162730000002,1.25,-0.71130629236494
"29",20240717,"59","103",NA,2360.351895,60.3394,NA,2338.837855,-5.33662800000002,7.2,20,0.115,1.9869,2024-07-28 09:00:00,2024-07-28 10:15:00,-16.177412,1.25,-0.38389701333736
"30",20240717,"51","102",NA,2338.139527,59.6449,NA,2335.2629595,-7.80666450000035,7.5,16,0.115,1.5368,2024-07-28 15:20:00,2024-07-28 16:28:00,4.93009700000039,1.13333333333333,0.166829235656323
"31",20240717,"60","102",NA,2329.899947,60.3288,NA,2335.2629595,-7.80666450000035,7.5,16,0.115,1.662,2024-07-28 15:20:00,2024-07-28 16:28:00,13.1696770000003,1.13333333333333,0.41207678816496
"32",20240717,"64","102",NA,2347.753772,60.1566,NA,2335.2629595,-7.80666450000035,7.5,16,0.115,1.7639,2024-07-28 15:20:00,2024-07-28 16:28:00,-4.68414799999982,1.13333333333333,-0.138099051608563
"33",20240717,"2","104",NA,2277.822698,59.7292,NA,2341.211058,-2.96342499999992,7.6,20,0.115,2.0481,2024-07-28 09:02:00,2024-07-28 10:15:00,66.3517849999998,1.21666666666667,1.56935629418144
"34",20240717,"23","104",NA,2322.675067,59.8205,NA,2341.211058,-2.96342499999992,7.6,20,0.11525,1.6157,2024-07-28 09:02:00,2024-07-28 10:15:00,21.4994159999997,1.21666666666667,0.645994963720706
"35",20240717,"69","104",NA,2293.861358,60.3254,NA,2341.211058,-2.96342499999992,7.6,20,0.115,1.6056,2024-07-28 09:02:00,2024-07-28 10:15:00,50.3131249999997,1.21666666666667,1.51797295323601
"36",20240717,"17","114",NA,2304.518499,60.4389,NA,2351.742597,7.56811400000015,8,20,0.11525,1.4391,2024-07-28 01:25:00,2024-07-28 02:38:00,39.655984,1.21666666666667,1.33776845685517
"37",20240717,"50","114",NA,2236.855508,59.6175,NA,2351.742597,7.56811400000015,8,20,0.115,1.7413,2024-07-28 01:25:00,2024-07-28 02:38:00,107.318975,1.21666666666667,2.98554084016704
"38",20240717,"63","114",NA,2342.341464,60.1209,NA,2351.742597,7.56811400000015,8,20,0.115,2.0212,2024-07-28 01:25:00,2024-07-28 02:38:00,1.83301899999969,1.21666666666667,0.043931676548781
"39",20240717,"1","110",NA,2351.010892,59.6902,NA,2333.132305,-11.0421779999997,7.4,20,0.115,1.7065,2024-07-28 14:44:00,2024-07-28 16:00:00,-6.836409,1.26666666666667,-0.18640223392177
"40",20240717,"48","110",NA,2356.693942,59.7677,NA,2333.132305,-11.0421779999997,7.4,20,0.115,1.5795,2024-07-28 14:44:00,2024-07-28 16:00:00,-12.5194590000001,1.26666666666667,-0.368803726102117
"41",20240717,"65","110",NA,2331.021064,59.9426,NA,2333.132305,-11.0421779999997,7.4,20,0.115,2.0211,2024-07-28 14:44:00,2024-07-28 16:00:00,13.1534189999998,1.26666666666667,0.302816977849146
"42",20240717,"53","107",NA,2347.681489,59.9686,NA,2349.553949,5.37946600000032,7.9,20,0.11525,1.5918,2024-07-28 10:35:00,2024-07-28 11:45:00,-3.50700600000027,1.16666666666667,-0.111541382407391
"43",20240717,"54","107",NA,2351.026262,60.2825,NA,2349.553949,5.37946600000032,7.9,20,0.115,1.9161,2024-07-28 10:35:00,2024-07-28 11:45:00,-6.85177900000008,1.16666666666667,-0.180646726525981
"44",20240717,"58","107",NA,2352.644312,60.3235,NA,2349.553949,5.37946600000032,7.9,20,0.115,1.7421,2024-07-28 10:35:00,2024-07-28 11:45:00,-8.46982900000012,1.16666666666667,-0.245610247084803
"45",20240719,"9","111",NA,2362.199195,59.8542,NA,2340.4570485,-2.61257549999982,7.2,16,0.115,1.5073,2024-07-28 10:55:00,2024-07-28 12:15:00,-19.1295709999999,1.33333333333333,-0.560994372791994
"46",20240719,"22","111",NA,2369.978736,59.6538,NA,2340.4570485,-2.61257549999982,7.2,16,0.115,1.7721,2024-07-28 10:55:00,2024-07-28 12:15:00,-26.9091119999998,1.33333333333333,-0.671218803326557
"47",20240719,"24","111",NA,2370.326147,60.0327,NA,2340.4570485,-2.61257549999982,7.2,16,0.115,1.9589,2024-07-28 10:55:00,2024-07-28 12:15:00,-27.256523,1.33333333333333,-0.615051045604357
"48",20240719,"40","113",NA,2343.084892,59.9314,NA,2346.6466845,3.57706049999979,7.9,16,0.115,1.8225,2024-07-28 12:23:00,2024-07-28 01:45:00,-0.0152679999996508,-10.6333333333333,4.64340854253605e-05
"49",20240719,"56","113",NA,2332.397182,60.0856,NA,2346.6466845,3.57706049999979,7.9,16,0.11525,1.5327,2024-07-28 12:23:00,2024-07-28 01:45:00,10.672442,-10.6333333333333,-0.0386787135742539
"50",20240719,"68","113",NA,2337.51043,59.906,NA,2346.6466845,3.57706049999979,7.9,16,0.115,1.9683,2024-07-28 12:23:00,2024-07-28 01:45:00,5.55919400000039,-10.6333333333333,-0.0156546304239607
"51",20240719,"31","118",NA,2338.904224,59.8892,NA,2342.89408066667,-0.17554333333328,7.8,16,0.115,1.6406,2024-07-28 13:53:00,2024-07-28 15:11:00,4.16540000000032,1.3,0.115107166468186
"52",20240719,"36","118",NA,2353.794372,59.8953,NA,2342.89408066667,-0.17554333333328,7.8,16,0.115,1.6789,2024-07-28 13:53:00,2024-07-28 15:11:00,-10.7247479999996,1.3,-0.289608047050027
"53",20240719,"38","118",NA,2341.608508,59.9217,NA,2342.89408066667,-0.17554333333328,7.8,16,0.115,1.7484,2024-07-28 13:53:00,2024-07-28 15:11:00,1.4611160000004,1.3,0.0378871778373298
"54",20240719,"15","117",NA,2349.654151,60.2525,NA,2318.3341185,-24.7355055000003,8,16,0.11525,1.5689,2024-07-28 12:25:00,2024-07-28 01:45:00,-6.58452699999998,-10.6666666666667,0.0232399612736854
"55",20240719,"34","117",NA,2342.957901,60.4294,NA,2318.3341185,-24.7355055000003,8,16,0.115,1.7216,2024-07-28 12:25:00,2024-07-28 01:45:00,0.111722999999984,-10.6666666666667,-0.00035856948001672
"56",20240719,"44","117",NA,2343.476195,59.781,NA,2318.3341185,-24.7355055000003,8,16,0.115,2.1325,2024-07-28 12:25:00,2024-07-28 01:45:00,-0.406570999999985,-10.6666666666667,0.00105344130916614
"57",20240722,"57","119",NA,2348.124754,59.7487,NA,2340.148223,-2.92140100000006,7.6,16,0.115,1.874,2024-07-28 13:55:00,2024-07-28 15:11:00,-5.05512999999974,1.26666666666667,-0.125513982632836
"58",20240722,"67","119",NA,2355.537827,60.3155,NA,2340.148223,-2.92140100000006,7.6,16,0.1145,2.306,2024-07-28 13:55:00,2024-07-28 15:11:00,-12.4682029999999,1.26666666666667,-0.25048491485384
"59",20240722,"25","106",NA,2346.205617,59.9169,NA,2337.3971515,-5.67247249999991,7.7,16,0.115,1.8409,2024-07-28 10:53:00,2024-07-28 12:15:00,-3.13599299999987,1.36666666666667,-0.0734639025069229
"60",20240722,"45","106",NA,2348.132671,60.3853,NA,2337.3971515,-5.67247249999991,7.7,16,0.115,1.5736,2024-07-28 10:53:00,2024-07-28 12:15:00,-5.06304699999964,1.36666666666667,-0.138754386041551
"61",20240722,"19","105",NA,2373.855171,59.9377,NA,2344.7849875,1.71536349999997,7.3,16,0.115,1.7874,2024-07-28 09:14:00,2024-07-28 11:00:00,-30.785547,1.76666666666667,-0.574595494344847
"62",20240722,"21","105",NA,2370.777261,60.2943,NA,2344.7849875,1.71536349999997,7.3,16,0.115,1.4185,2024-07-28 09:14:00,2024-07-28 11:00:00,-27.707637,1.76666666666667,-0.651639263780168
"63",20240722,"37","105",NA,2358.044079,59.9854,NA,2344.7849875,1.71536349999997,7.3,16,0.115,1.5959,2024-07-28 09:14:00,2024-07-28 11:00:00,-14.9744549999996,1.76666666666667,-0.31302746598151
"64",20240722,"26","101",NA,2347.881743,60.3718,NA,2346.125239,3.05561499999976,7.4,16,0.115,1.6391,2024-07-28 09:12:00,2024-07-28 11:00:00,-4.81211899999971,1.8,-0.0961280457305442
"65",20240722,"41","101",NA,2346.893473,59.9167,NA,2346.125239,3.05561499999976,7.4,16,0.115,2.0196,2024-07-28 09:12:00,2024-07-28 11:00:00,-3.82384899999988,1.8,-0.061994702041519
"66",20240722,"42","101",NA,2359.953884,59.9939,NA,2346.125239,3.05561499999976,7.4,16,0.1145,1.597,2024-07-28 09:12:00,2024-07-28 11:00:00,-16.8842599999998,1.8,-0.344670382705416
