snail_ID,snail_colors,blotted_wet_weight_g,shell_length_mm,shell_width_mm,tank,pH,temp,rep,shell_length2,shell_width2,final_wet_weight,final_dry_weight,dry_shell
43,light green-dark green-light green,2.3296,16.85,17.14,8,7.4,16,161671,16.4,17.45,2.3822,0.0496,1.8894
63,pink-light green-pink-red,1.6128,14.42,15.27,9,7.7,20,161673,13.9,15.15,1.6733,0.0349,1.3541
53,pink-red-pink-red,2.5397,16.65,17.38,9,7.7,20,161675,15.78,17.64,2.5698,0.1164,2.0045
44,dark green-pink-dark green,1.7927,14.49,16.16,9,7.7,20,161693,14.08,16.77,1.8191,0.0354,1.4658
47,dark green-red-dark green,2.5108,17.35,17.07,10,7.5,16,161695,17.07,17.13,2.5555,0.0501,2.0403
28,red-pink-dark green,1.9808,14.84,16.59,10,7.5,16,161608,14.6,16.94,2.09,0.0425,1.5975
51,dark green-light green-pink,1.8016,14.5,15.15,10,7.5,16,161612,14.44,15.3,1.8786,0.0315,1.5074
55,pink-red-pink-dark green,2.1359,16.3,16.36,11,7.6,20,161668,16.4,16.78,2.1489,0.041,1.7421
40,light green-red-dark green,1.8171,14.28,14.88,11,7.6,20,161641,13.97,14.93,1.8756,0.0286,1.5269
48,dark green-red-pink,2.252,15.97,16.7,11,7.6,20,161628,14.94,17,2.3639,0.0408,1.9312
75,pink-dark green-red-pink,1.5974,13.7,15.43,12,7.2,16,161638,13.28,15.08,1.6288,0.0324,1.2918
60,pink-red-dark green-red,2.1022,14.51,16.38,12,7.2,16,161648,14.22,16.72,2.146,0.0357,1.7513
1,pink,2.6567,16.9,16.76,12,7.2,16,161666,16.59,17.14,2.6701,0.1343,2.0615
15,dark green-red,1.7533,14.22,15.87,13,8,20,161677,13.92,16.94,1.7951,0.0348,1.4442
3,light green,2.3647,14.09,15.93,13,8,20,161657,15.47,17.27,2.3898,0.0497,1.9494
59,pink-red-dark green-pink,2.1855,15.17,16.68,13,8,20,161636,14.85,16.96,2.2136,0.051,1.8067
10,red-dark green,1.6945,14.28,15.01,14,7.8,16,161624,14.14,16.03,1.7621,0.0336,1.4045
72,pink-dark green-pink-light green,1.7226,14.02,15.34,14,7.8,16,161630,13.79,15.45,1.7517,0.0342,1.3966
66,pink-light green-red-pink,2.0865,15.47,17.03,14,7.8,16,161622,15,17.22,2.1565,0.0457,1.6868
9,red-light green,2.9156,16.86,18.31,15,7.9,16,161653,16.99,18.79,3.109,0.1476,2.2356
32,red-dark green-pink,1.6695,13.76,15.21,15,7.9,16,blank,13.78,15.38,1.7413,0.042,1.3526
74,pink-dark green-red-dark green,1.6936,14.33,16.22,15,7.9,16,161654,13.82,16.62,1.8394,0.052,1.3732
35,light green-pink-light green,2.8073,17.42,17.39,17,7.8,20,161692,17.73,17.58,2.8157,0.1171,2.2203
22,pink-light green-dark green,2.2169,16.2,16.5,17,7.8,20,161635,17.06,16.54,2.3002,0.0488,1.8711
77,pink-dark green-light green-pink,1.8829,14.65,15.26,17,7.8,20,161664,15.12,15.33,1.9138,0.0477,1.5258
11,light green-pink,2.1692,16.13,16.75,18,8,16,161627,16.34,17.23,2.1805,0.0461,1.7291
8,red-pink,2.0516,15.58,16.09,18,8,16,161651,14.9,16.85,2.1306,0.0391,1.6984
37,light green-pink-dark green,1.9798,15.91,16.04,18,8,16,161676,15.28,16.57,2.022,0.052,1.5828
17,pink-red-pink,2.4991,16.49,17.1,19,7.9,20,161618,16.86,17.68,2.5809,0.0652,2.0528
18,pink-red-light green,2.2347,16.3,16.58,19,7.9,20,161619,15.7,17.01,2.2872,0.103,1.7731
5,pink-red,1.7981,14.25,15.48,19,7.9,20,161616,14.24,16.56,1.8612,0.0995,1.4144
38,light green-red-light green,2.1018,15.71,16.21,,,,,,,,,
12,light green-red,2.777,17.46,17.09,,,,,,,,,
65,pink-light green-red-light green,2.1557,15.54,15.9,,,,,,,,,
52,dark green-light green-red,2.6038,15.89,17.47,,,,,,,,,
45,dark green-pink-red,1.769,15.15,15.53,,,,,,,,,
24,pink-dark green-red,1.8234,15.96,15.4,,,,,,,,,
54,pink-red-pink-light green,1.8148,15.04,15.82,,,,,,,,,
36,light green-pink-red,2.2714,15.55,16.1,,,,,,,,,
31,red-light green-dark green,2.2827,15.63,16.64,,,,,,,,,
21,pink-light green-red,2.57,16.47,17.38,,,,,,,,,
41,light green-dark green-pink,1.6746,14.6,16,,,,,,,,,
46,dark green-pink-light green,2.2423,16.16,17.21,,,,,,,,,
78,pink-dark green-light green-red,1.8059,14.62,15.31,,,,,,,,,
70,pink-light green-dark green-red,2.1911,15.15,16.64,,,,,,,,,
50,dark green-light green-dark green,2.0118,15.33,15.83,,,,,,,,,
